Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-200241@CP
Wafer number	19
Date	2025/02/13
Time	20:07:31

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
68	25	8	1	1.36000E-002	1.11000E-002	7.40000E-003	4.47200E-010	2.99490E-009	7.12158E+002	7.27077E+002	1.49198E+001	1.31150E-006	4.12360E+000	3.46065E-002	6.32300E-001	8.38000E-010	6.60000E-011
72	27	8	1	1.35000E-002	1.11000E-002	7.40000E-003	1.26910E-009	2.90350E-009	7.27870E+002	7.35386E+002	7.51610E+000	1.12590E-006	4.09080E+000	3.42045E-002	6.32100E-001	7.69700E-010	1.46300E-010
76	29	8	1	1.36000E-002	1.12000E-002	7.40000E-003	4.94100E-010	2.60850E-009	7.33398E+002	7.39331E+002	5.93270E+000	9.79200E-007	4.12060E+000	3.35946E-002	6.32800E-001	1.81900E-010	5.00900E-010
80	31	8	1	1.35000E-002	1.12000E-002	7.40000E-003	4.54300E-010	2.88950E-009	7.26797E+002	7.33538E+002	6.74060E+000	1.07290E-006	4.10050E+000	3.34877E-002	6.32100E-001	4.03000E-011	2.43500E-010
84	33	8	1	1.31000E-002	1.09000E-002	7.20000E-003	4.61300E-010	2.87540E-009	7.00619E+002	7.08144E+002	7.52550E+000	1.36720E-006	4.11580E+000	3.36756E-002	6.32900E-001	6.38300E-010	4.75800E-010
89	35	10	1	1.36000E-002	1.12000E-002	7.40000E-003	3.67600E-010	2.61790E-009	7.29791E+002	7.36713E+002	6.92190E+000	1.07460E-006	4.04550E+000	3.33451E-002	6.32000E-001	7.45600E-010	1.70900E-010
93	33	10	1	1.35000E-002	1.11000E-002	7.40000E-003	8.92100E-010	2.79580E-009	7.39551E+002	7.42284E+002	2.73260E+000	9.23100E-007	4.00940E+000	3.34571E-002	6.32400E-001	7.81900E-010	2.48200E-010
97	31	10	1	1.35000E-002	1.12000E-002	7.40000E-003	9.62400E-010	2.28770E-009	7.24118E+002	7.36333E+002	1.22151E+001	1.14390E-006	4.00500E+000	3.41608E-002	6.31800E-001	7.48400E-010	2.25500E-010
101	29	10	1	1.35000E-002	1.12000E-002	7.40000E-003	2.11000E-011	2.27600E-009	7.18837E+002	7.30265E+002	1.14280E+001	1.20940E-006	4.00150E+000	3.41226E-002	6.32300E-001	8.14400E-010	5.64100E-010
105	27	10	1	1.36000E-002	1.11000E-002	7.40000E-003	5.10500E-010	1.95520E-009	7.25225E+002	7.33414E+002	8.18860E+000	1.16870E-006	3.98640E+000	3.40738E-002	6.31700E-001	2.46000E-011	4.84000E-010
109	25	10	1	1.35000E-002	1.12000E-002	7.40000E-003	3.75000E-011	2.20810E-009	7.23136E+002	7.33241E+002	1.01051E+001	1.14550E-006	4.00690E+000	3.39195E-002	6.32600E-001	1.36700E-010	5.38300E-010
113	23	10	1	1.36000E-002	1.12000E-002	7.40000E-003	7.14200E-010	2.59210E-009	7.30274E+002	7.38391E+002	8.11640E+000	1.03550E-006	3.99000E+000	3.37088E-002	6.32500E-001	8.51400E-010	1.78400E-010
117	21	10	1	1.35000E-002	1.11000E-002	7.50000E-003	8.43000E-011	2.43290E-009	7.35390E+002	7.41186E+002	5.79560E+000	9.97200E-007	4.00260E+000	3.36732E-002	6.32300E-001	4.85200E-010	8.06000E-011
121	19	10	1	1.35000E-002	1.12000E-002	7.40000E-003	4.49600E-010	2.93870E-009	7.27954E+002	7.38679E+002	1.07251E+001	1.06010E-006	4.01690E+000	3.38725E-002	6.32800E-001	5.73200E-010	2.53600E-010
125	17	10	1	1.35000E-002	1.12000E-002	7.40000E-003	5.73700E-010	2.69750E-009	7.32101E+002	7.39517E+002	7.41620E+000	1.04500E-006	4.03040E+000	3.40556E-002	6.32300E-001	3.64800E-010	1.08400E-010
129	15	10	1	1.35000E-002	1.12000E-002	7.50000E-003	1.15910E-009	2.63660E-009	7.35988E+002	7.42760E+002	6.77270E+000	1.00430E-006	4.06980E+000	3.41241E-002	6.32600E-001	4.93600E-010	5.32000E-011
133	13	10	1	1.35000E-002	1.13000E-002	7.40000E-003	6.22900E-010	2.55470E-009	7.29178E+002	7.40448E+002	1.12699E+001	1.02580E-006	4.09100E+000	3.42610E-002	6.32900E-001	8.18800E-010	2.09300E-010
137	11	10	1	1.36000E-002	1.12000E-002	7.50000E-003	5.97100E-010	2.21280E-009	7.44459E+002	7.46963E+002	2.50410E+000	8.44300E-007	4.10640E+000	3.34368E-002	6.33400E-001	5.01600E-010	4.34600E-010
141	9	10	1	1.35000E-002	1.12000E-002	7.40000E-003	3.98000E-011	2.73260E-009	7.37966E+002	7.45125E+002	7.15940E+000	9.94200E-007	4.10130E+000	3.35415E-002	6.32300E-001	7.65900E-010	1.48200E-010
148	6	12	1	1.35000E-002	1.12000E-002	7.40000E-003	7.32900E-010	3.12600E-009	6.94725E+002	7.03227E+002	8.50260E+000	1.39470E-006	4.11230E+000	3.40760E-002	6.32700E-001	1.05400E-010	5.11900E-010
152	8	12	1	1.36000E-002	1.12000E-002	7.40000E-003	8.66400E-010	3.49600E-009	7.40106E+002	7.42064E+002	1.95840E+000	9.14600E-007	4.09150E+000	3.33999E-002	6.32600E-001	1.81500E-010	1.53400E-010
156	10	12	1	1.35000E-002	1.12000E-002	7.40000E-003	8.47600E-010	2.99490E-009	7.40009E+002	7.48749E+002	8.74010E+000	9.22700E-007	4.09880E+000	3.39031E-002	6.32500E-001	3.77200E-010	3.67600E-010
160	12	12	1	1.36000E-002	1.12000E-002	7.40000E-003	1.20590E-009	2.12380E-009	7.42461E+002	7.50707E+002	8.24580E+000	9.28300E-007	4.08330E+000	3.37398E-002	6.32800E-001	5.57100E-010	2.30600E-010
164	14	12	1	1.35000E-002	1.12000E-002	7.40000E-003	1.08180E-009	2.45630E-009	7.41823E+002	7.48575E+002	6.75210E+000	9.18600E-007	3.99970E+000	3.35860E-002	6.32700E-001	1.19000E-010	1.61800E-010
168	16	12	1	1.35000E-002	1.12000E-002	7.40000E-003	7.84400E-010	2.51720E-009	7.39499E+002	7.47097E+002	7.59750E+000	9.48600E-007	4.03580E+000	3.33339E-002	6.32400E-001	4.69300E-010	1.19400E-010
172	18	12	1	1.34000E-002	1.12000E-002	7.40000E-003	1.11930E-009	2.17530E-009	7.37863E+002	7.43044E+002	5.18140E+000	9.84700E-007	4.08620E+000	3.32605E-002	6.32500E-001	5.23100E-010	2.00400E-010
176	20	12	1	1.35000E-002	1.12000E-002	7.40000E-003	1.17780E-009	2.52660E-009	7.35544E+002	7.41667E+002	6.12270E+000	1.02730E-006	4.06910E+000	3.29844E-002	6.31900E-001	5.54200E-010	5.08800E-010
180	22	12	1	1.35000E-002	1.11000E-002	7.40000E-003	4.84700E-010	2.89180E-009	7.33502E+002	7.40114E+002	6.61200E+000	1.04630E-006	4.10120E+000	3.28088E-002	6.31700E-001	5.12600E-010	1.37500E-010
184	24	12	1	1.35000E-002	1.11000E-002	7.40000E-003	6.93100E-010	2.49140E-009	7.38942E+002	7.43785E+002	4.84300E+000	9.99700E-007	4.06620E+000	3.28950E-002	6.31700E-001	5.21200E-010	2.65100E-010
188	26	12	1	1.35000E-002	1.11000E-002	7.50000E-003	1.16610E-009	3.06040E-009	7.37593E+002	7.42454E+002	4.86060E+000	9.59900E-007	3.93100E+000	3.30819E-002	6.32400E-001	3.65100E-010	4.74900E-010
192	28	12	1	1.35000E-002	1.11000E-002	7.40000E-003	9.67100E-010	2.06290E-009	7.36641E+002	7.44264E+002	7.62310E+000	9.88500E-007	3.97710E+000	3.32989E-002	6.32200E-001	3.29700E-010	2.18900E-010
196	30	12	1	1.35000E-002	1.11000E-002	7.40000E-003	1.04670E-009	2.52660E-009	7.39605E+002	7.44862E+002	5.25610E+000	9.81200E-007	4.00180E+000	3.34823E-002	6.31900E-001	5.95900E-010	1.32500E-010
200	32	12	1	1.36000E-002	1.11000E-002	7.40000E-003	6.04100E-010	2.43520E-009	7.35147E+002	7.43835E+002	8.68710E+000	1.01160E-006	3.97430E+000	3.36033E-002	6.32100E-001	7.66000E-011	8.69000E-011
204	34	12	1	1.36000E-002	1.11000E-002	7.50000E-003	9.36600E-010	2.41420E-009	7.36266E+002	7.45378E+002	9.11190E+000	9.31200E-007	4.02990E+000	3.36770E-002	6.32500E-001	6.10400E-010	4.92000E-011
208	36	12	1	1.36000E-002	1.12000E-002	7.50000E-003	6.88400E-010	2.49140E-009	7.38529E+002	7.40519E+002	1.99030E+000	9.13600E-007	4.05170E+000	3.30579E-002	6.32700E-001	7.38000E-011	1.79100E-010
212	38	12	1	1.35000E-002	1.07000E-002	7.00000E-003	8.38300E-010	2.46100E-009	6.98996E+002	7.04231E+002	5.23510E+000	1.34570E-006	3.98440E+000	3.38481E-002	6.32000E-001	5.99200E-010	2.01000E-011
214	39	14	1	1.34000E-002	1.06000E-002	7.00000E-003	3.86400E-010	2.62260E-009	6.95893E+002	7.02155E+002	6.26210E+000	1.28640E-006	3.90450E+000	3.38348E-002	6.32300E-001	5.76700E-010	1.85000E-011
216	37	14	1	1.35000E-002	1.12000E-002	7.40000E-003	3.58300E-010	2.83100E-009	7.39896E+002	7.41830E+002	1.93390E+000	9.14200E-007	4.05900E+000	3.31538E-002	6.32400E-001	2.77500E-010	2.60100E-010
220	35	14	1	1.35000E-002	1.12000E-002	7.40000E-003	6.72000E-010	2.60150E-009	7.36891E+002	7.43042E+002	6.15100E+000	9.57200E-007	3.97630E+000	3.39640E-002	6.31800E-001	6.12300E-010	2.12100E-010
224	33	14	1	1.36000E-002	1.11000E-002	7.40000E-003	3.95700E-010	2.30410E-009	7.39350E+002	7.43723E+002	4.37220E+000	9.72600E-007	4.03380E+000	3.39384E-002	6.31800E-001	4.06500E-010	5.40400E-010
228	31	14	1	1.36000E-002	1.12000E-002	7.40000E-003	5.05800E-010	2.47970E-009	7.33292E+002	7.41531E+002	8.23960E+000	9.81500E-007	3.99450E+000	3.34528E-002	6.32600E-001	3.95300E-010	1.31600E-010
232	29	14	1	1.35000E-002	1.11000E-002	7.50000E-003	3.39500E-010	2.40480E-009	7.38958E+002	7.44515E+002	5.55650E+000	9.72800E-007	3.92250E+000	3.31779E-002	6.31600E-001	2.67000E-011	5.09800E-010
236	27	14	1	1.35000E-002	1.11000E-002	7.40000E-003	4.66000E-010	2.41180E-009	7.35966E+002	7.42711E+002	6.74520E+000	9.95900E-007	4.00170E+000	3.27677E-002	6.31900E-001	5.36000E-011	7.66200E-010
240	25	14	1	1.35000E-002	1.11000E-002	7.40000E-003	1.11460E-009	2.43520E-009	7.27430E+002	7.34482E+002	7.05180E+000	1.09960E-006	4.10670E+000	3.26084E-002	6.31900E-001	3.51200E-010	3.61500E-010
244	23	14	1	1.35000E-002	1.12000E-002	7.40000E-003	1.01620E-009	2.36030E-009	7.24681E+002	7.30391E+002	5.71080E+000	1.12460E-006	4.15000E+000	3.22702E-002	6.32000E-001	3.59200E-010	9.98000E-011
248	21	14	1	1.35000E-002	1.11000E-002	7.40000E-003	1.06070E-009	2.49610E-009	7.25858E+002	7.31176E+002	5.31740E+000	1.16100E-006	4.21720E+000	3.24651E-002	6.31700E-001	5.95500E-010	9.86000E-011
252	19	14	1	1.36000E-002	1.12000E-002	7.40000E-003	7.84400E-010	2.54760E-009	7.27209E+002	7.33579E+002	6.37010E+000	1.11890E-006	4.20090E+000	3.25566E-002	6.31900E-001	2.55000E-010	5.80500E-010
256	17	14	1	1.35000E-002	1.12000E-002	7.40000E-003	1.15440E-009	2.32520E-009	7.35513E+002	7.40607E+002	5.09420E+000	1.00360E-006	4.11070E+000	3.28486E-002	6.32200E-001	2.44900E-010	3.38800E-010
260	15	14	1	1.35000E-002	1.12000E-002	7.50000E-003	4.87000E-010	2.23620E-009	7.43521E+002	7.48411E+002	4.89090E+000	9.43000E-007	4.04040E+000	3.30934E-002	6.32100E-001	5.96600E-010	6.15100E-010
264	13	14	1	1.35000E-002	1.11000E-002	7.50000E-003	5.80700E-010	2.96680E-009	7.36327E+002	7.45452E+002	9.12450E+000	9.66600E-007	4.05900E+000	3.34497E-002	6.32800E-001	4.63900E-010	4.65300E-010
268	11	14	1	1.35000E-002	1.12000E-002	7.40000E-003	9.69400E-010	2.34160E-009	7.31729E+002	7.37378E+002	5.64850E+000	1.03290E-006	4.02400E+000	3.41242E-002	6.32300E-001	2.89200E-010	2.68100E-010
272	9	14	1	1.35000E-002	1.13000E-002	7.50000E-003	4.94100E-010	2.45860E-009	7.36137E+002	7.43814E+002	7.67700E+000	9.96700E-007	4.11640E+000	3.42191E-002	6.32300E-001	3.58500E-010	1.38600E-010
276	7	14	1	1.35000E-002	1.13000E-002	7.50000E-003	1.45200E-010	3.19160E-009	7.36320E+002	7.40585E+002	4.26560E+000	9.54000E-007	4.13990E+000	3.36650E-002	6.32400E-001	7.04800E-010	2.42600E-010
280	5	14	8	1.35000E-002	1.12000E-002	7.40000E-003	4.54300E-010	3.03000E-009	6.63249E+002	6.80396E+002	1.71461E+001	1.38253E-005
284	5	16	4	1.36000E-002	1.12000E-002	7.40000E-003	1.13570E-009	2.75395E-007
288	7	16	1	1.35000E-002	1.11000E-002	7.40000E-003	5.55000E-010	2.71860E-009	7.35179E+002	7.40308E+002	5.12830E+000	9.54200E-007	4.12700E+000	3.37804E-002	6.32400E-001	4.95700E-010	2.22900E-010
292	9	16	1	1.35000E-002	1.11000E-002	7.50000E-003	8.43000E-010	2.67880E-009	7.29355E+002	7.38772E+002	9.41700E+000	1.02940E-006	4.11080E+000	3.43221E-002	6.32300E-001	2.44200E-010	2.64100E-010
296	11	16	1	1.35000E-002	1.11000E-002	7.40000E-003	8.26600E-010	2.13550E-009	7.29696E+002	7.36368E+002	6.67250E+000	1.07460E-006	4.07660E+000	3.41849E-002	6.32000E-001	3.10700E-010	4.13300E-010
300	13	16	1	1.36000E-002	1.11000E-002	7.40000E-003	6.15800E-010	2.62720E-009	7.30400E+002	7.39247E+002	8.84750E+000	1.03170E-006	4.04110E+000	3.36899E-002	6.32500E-001	5.64300E-010	3.35000E-011
304	15	16	1	1.35000E-002	1.12000E-002	7.40000E-003	1.00920E-009	2.64130E-009	7.38391E+002	7.43799E+002	5.40790E+000	9.67500E-007	4.06130E+000	3.30411E-002	6.32400E-001	7.91500E-010	4.10000E-011
308	17	16	1	1.36000E-002	1.12000E-002	7.50000E-003	6.46300E-010	2.51950E-009	7.31428E+002	7.37731E+002	6.30310E+000	1.07870E-006	4.18410E+000	3.25934E-002	6.31900E-001	1.54500E-010	3.47000E-010
312	19	16	1	1.35000E-002	1.11000E-002	7.50000E-003	8.05500E-010	2.37440E-009	7.22867E+002	7.30299E+002	7.43230E+000	1.11770E-006	4.21050E+000	3.24444E-002	6.32500E-001	7.03600E-010	6.98000E-011
316	21	16	1	1.35000E-002	1.13000E-002	7.40000E-003	5.62000E-010	2.42590E-009	7.16988E+002	7.19717E+002	2.72950E+000	1.29730E-006	4.22370E+000	3.22376E-002	6.31100E-001	2.85400E-010	2.34400E-010
320	23	16	1	1.36000E-002	1.14000E-002	7.40000E-003	2.08400E-010	2.38840E-009	7.18030E+002	7.21034E+002	3.00320E+000	1.28800E-006	4.20300E+000	3.22293E-002	6.31100E-001	2.37200E-010	1.03700E-010
324	25	16	1	1.36000E-002	1.12000E-002	7.40000E-003	7.89100E-010	2.37900E-009	7.21646E+002	7.30131E+002	8.48460E+000	1.09260E-006	4.09420E+000	3.23863E-002	6.32600E-001	2.84000E-010	4.14000E-011
328	27	16	1	1.35000E-002	1.12000E-002	7.50000E-003	9.46000E-010	2.40480E-009	7.32584E+002	7.37631E+002	5.04680E+000	1.02500E-006	4.04390E+000	3.23474E-002	6.32100E-001	2.37200E-010	5.10700E-010
332	29	16	1	1.35000E-002	1.13000E-002	7.40000E-003	8.14900E-010	2.52890E-009	7.38389E+002	7.43833E+002	5.44410E+000	9.56100E-007	3.99450E+000	3.29279E-002	6.32300E-001	4.67600E-010	5.80700E-010
336	31	16	1	1.36000E-002	1.12000E-002	7.40000E-003	6.41600E-010	2.09100E-009	7.35378E+002	7.43296E+002	7.91780E+000	9.79000E-007	3.97540E+000	3.34098E-002	6.32200E-001	1.19680E-009	3.14000E-011
340	33	16	1	1.35000E-002	1.12000E-002	7.40000E-003	3.72300E-010	1.76090E-009	7.40910E+002	7.46435E+002	5.52490E+000	9.56100E-007	4.03540E+000	3.38245E-002	6.31800E-001	7.70800E-010	1.44900E-010
344	35	16	1	1.36000E-002	1.13000E-002	7.40000E-003	9.36600E-010	1.71640E-009	7.35798E+002	7.43095E+002	7.29770E+000	9.35100E-007	4.04400E+000	3.39326E-002	6.32100E-001	6.59600E-010	2.73500E-010
348	37	16	1	1.36000E-002	1.14000E-002	7.40000E-003	4.80000E-010	2.63660E-009	7.41196E+002	7.43060E+002	1.86460E+000	9.04000E-007	4.04730E+000	3.31319E-002	6.32400E-001	5.43700E-010	3.09100E-010
352	39	16	1	1.35000E-002	1.09000E-002	7.00000E-003	4.73000E-010	2.51020E-009	7.17957E+002	7.21813E+002	3.85650E+000	1.08730E-006	4.10720E+000	3.35252E-002	6.32900E-001	7.06000E-010	6.35300E-010
354	38	18	1	1.34000E-002	1.09000E-002	7.00000E-003	5.92400E-010	2.90120E-009	7.36355E+002	7.39513E+002	3.15800E+000	9.95000E-007	4.11250E+000	3.31500E-002	6.32700E-001	2.18000E-011	7.14200E-010
356	36	18	1	1.36000E-002	1.12000E-002	7.40000E-003	5.59600E-010	2.18700E-009	7.45420E+002	7.47170E+002	1.74970E+000	8.52900E-007	4.07170E+000	3.33408E-002	6.32600E-001	1.01600E-010	2.75600E-010
360	34	18	1	1.34000E-002	1.13000E-002	7.50000E-003	1.61600E-010	1.97390E-009	7.33157E+002	7.42815E+002	9.65750E+000	9.35500E-007	4.06780E+000	3.40816E-002	6.32800E-001	4.19600E-010	1.44900E-010
364	32	18	1	1.36000E-002	1.12000E-002	7.40000E-003	4.58900E-010	2.17530E-009	7.36820E+002	7.43519E+002	6.69850E+000	9.41500E-007	4.05200E+000	3.37639E-002	6.32000E-001	1.67700E-010	1.48900E-010
368	30	18	1	1.35000E-002	1.12000E-002	7.40000E-003	1.63900E-010	3.14710E-009	7.43642E+002	7.48051E+002	4.40900E+000	9.10100E-007	3.99740E+000	3.32443E-002	6.32200E-001	3.88500E-010	2.32500E-010
372	28	18	1	1.35000E-002	1.11000E-002	7.40000E-003	4.87000E-010	2.31820E-009	7.38520E+002	7.44587E+002	6.06750E+000	9.17200E-007	4.01220E+000	3.29634E-002	6.32900E-001	6.51000E-010	3.96200E-010
376	26	18	1	1.36000E-002	1.13000E-002	7.50000E-003	5.43200E-010	2.85670E-009	7.34750E+002	7.38038E+002	3.28800E+000	1.02270E-006	4.06980E+000	3.25443E-002	6.32000E-001	2.42100E-010	2.72300E-010
380	24	18	1	1.35000E-002	1.12000E-002	7.40000E-003	4.23800E-010	2.83330E-009	7.30237E+002	7.34004E+002	3.76760E+000	1.08000E-006	4.11860E+000	3.23605E-002	6.32100E-001	3.67600E-010	1.57600E-010
384	22	18	1	1.35000E-002	1.12000E-002	7.40000E-003	1.03030E-009	2.49380E-009	7.25600E+002	7.33732E+002	8.13250E+000	1.11020E-006	4.16010E+000	3.25184E-002	6.31900E-001	7.35000E-011	3.28300E-010
388	20	18	1	1.35000E-002	1.12000E-002	7.40000E-003	1.56900E-010	2.72790E-009	7.28633E+002	7.34514E+002	5.88020E+000	1.10190E-006	4.19560E+000	3.24564E-002	6.31900E-001	5.64100E-010	5.59600E-010
392	18	18	1	1.35000E-002	1.12000E-002	7.40000E-003	8.40600E-010	3.03000E-009	7.33638E+002	7.37328E+002	3.68990E+000	1.02490E-006	4.13860E+000	3.26231E-002	6.32200E-001	2.18700E-010	1.69500E-010
396	16	18	1	1.35000E-002	1.12000E-002	7.40000E-003	4.77700E-010	2.53120E-009	7.33769E+002	7.41970E+002	8.20080E+000	9.84400E-007	4.07620E+000	3.31997E-002	6.32600E-001	1.06100E-010	2.70200E-010
400	14	18	1	1.35000E-002	1.11000E-002	7.40000E-003	6.95400E-010	2.64130E-009	7.36193E+002	7.41003E+002	4.80990E+000	9.69600E-007	4.08280E+000	3.35453E-002	6.32500E-001	6.40700E-010	1.63700E-010
404	12	18	1	1.35000E-002	1.12000E-002	7.40000E-003	5.87700E-010	1.95050E-009	7.32912E+002	7.39385E+002	6.47310E+000	1.02420E-006	4.07200E+000	3.40596E-002	6.32300E-001	5.96200E-010	4.18000E-010
408	10	18	1	1.35000E-002	1.11000E-002	7.40000E-003	7.35300E-010	2.64830E-009	7.22145E+002	7.33302E+002	1.11563E+001	1.10240E-006	4.12330E+000	3.43751E-002	6.33000E-001	5.37600E-010	6.99400E-010
412	8	18	1	1.35000E-002	1.12000E-002	7.40000E-003	1.26210E-009	2.98550E-009	7.39300E+002	7.43680E+002	4.37910E+000	9.19700E-007	4.15830E+000	3.38202E-002	6.32700E-001	1.39600E-010	2.43100E-010
416	6	18	1	1.35000E-002	1.11000E-002	7.40000E-003	8.43000E-010	3.17280E-009	7.28123E+002	7.33840E+002	5.71770E+000	1.04350E-006	4.13290E+000	3.36054E-002	6.33000E-001	6.12100E-010	2.88500E-010
420	7	20	1	1.35000E-002	1.08000E-002	7.20000E-003	9.40000E-012	2.27086E-008	7.19374E+002	7.24084E+002	4.71020E+000	1.09920E-006	4.07760E+000	3.37105E-002	6.32700E-001	2.64400E-010	1.53400E-010
423	9	20	1	1.35000E-002	1.11000E-002	7.40000E-003	7.96100E-010	2.72090E-009	7.41939E+002	7.47574E+002	5.63530E+000	8.88800E-007	4.05240E+000	3.35805E-002	6.32400E-001	5.35800E-010	1.13100E-010
427	11	20	1	1.36000E-002	1.11000E-002	7.40000E-003	4.21500E-010	2.49610E-009	7.30223E+002	7.39723E+002	9.49970E+000	1.05530E-006	4.02680E+000	3.43029E-002	6.32200E-001	4.82800E-010	5.21500E-010
431	13	20	1	1.35000E-002	1.11000E-002	7.40000E-003	1.08180E-009	2.38610E-009	7.25600E+002	7.38090E+002	1.24898E+001	1.11290E-006	4.01810E+000	3.41566E-002	6.32200E-001	4.10900E-010	1.30000E-010
435	15	20	1	1.36000E-002	1.11000E-002	7.40000E-003	5.31500E-010	2.32280E-009	7.35447E+002	7.40698E+002	5.25070E+000	9.94800E-007	3.99940E+000	3.36713E-002	6.32700E-001	5.52100E-010	6.65200E-010
439	17	20	1	1.35000E-002	1.12000E-002	7.50000E-003	5.40900E-010	2.52890E-009	7.35111E+002	7.40799E+002	5.68850E+000	1.01120E-006	3.98340E+000	3.35285E-002	6.32100E-001	2.22200E-010	5.35000E-010
443	19	20	1	1.35000E-002	1.12000E-002	7.40000E-003	1.17000E-011	1.96690E-009	7.33282E+002	7.41699E+002	8.41710E+000	1.02010E-006	3.99890E+000	3.33158E-002	6.32100E-001	6.94000E-010	3.18000E-010
447	21	20	1	1.35000E-002	1.12000E-002	7.40000E-003	4.70700E-010	2.72560E-009	7.36793E+002	7.42143E+002	5.35010E+000	9.68800E-007	3.99050E+000	3.30400E-002	6.32700E-001	4.36900E-010	2.58300E-010
