Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-201510@CP
Wafer number	21
Date	2025/02/13
Time	20:19:59

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
68	25	8	1	1.34000E-002	1.11000E-002	7.40000E-003	9.43700E-010	2.06530E-009	7.21736E+002	7.35514E+002	1.37775E+001	1.15270E-006	4.03990E+000	3.45242E-002	6.31800E-001	1.52400E-010	1.76100E-010
72	27	8	1	1.35000E-002	1.12000E-002	7.40000E-003	7.44600E-010	2.46800E-009	7.33967E+002	7.42563E+002	8.59600E+000	1.02270E-006	4.05430E+000	3.42521E-002	6.31700E-001	1.21410E-009	6.56000E-011
76	29	8	1	1.35000E-002	1.13000E-002	7.40000E-003	9.24900E-010	1.90600E-009	7.39228E+002	7.45840E+002	6.61260E+000	8.96300E-007	4.10560E+000	3.35620E-002	6.32700E-001	2.70900E-010	4.14000E-011
80	31	8	1	1.36000E-002	1.13000E-002	7.50000E-003	1.18250E-009	2.29010E-009	7.35585E+002	7.42414E+002	6.82980E+000	9.63700E-007	4.12990E+000	3.33061E-002	6.32400E-001	7.54900E-010	3.01400E-010
84	33	8	1	1.31000E-002	1.11000E-002	7.20000E-003	1.04200E-009	2.26900E-009	7.14025E+002	7.21388E+002	7.36270E+000	1.12530E-006	4.15060E+000	3.35822E-002	6.32800E-001	2.74000E-011	1.06100E-010
89	35	10	1	1.35000E-002	1.11000E-002	7.40000E-003	9.71800E-010	2.63900E-009	7.37905E+002	7.43675E+002	5.77030E+000	9.70200E-007	4.11200E+000	3.33704E-002	6.32200E-001	7.91900E-010	1.73700E-010
93	33	10	1	1.35000E-002	1.12000E-002	7.40000E-003	9.03800E-010	1.73510E-009	7.47089E+002	7.49696E+002	2.60680E+000	8.42400E-007	4.04980E+000	3.33174E-002	6.32700E-001	2.43800E-010	5.89600E-010
97	31	10	1	1.35000E-002	1.12000E-002	7.40000E-003	4.68000E-011	1.93880E-009	7.31736E+002	7.44123E+002	1.23872E+001	1.00430E-006	3.99100E+000	3.41071E-002	6.31800E-001	5.54000E-010	1.39100E-010
101	29	10	1	1.36000E-002	1.12000E-002	7.40000E-003	1.73300E-010	1.82170E-009	7.31422E+002	7.41272E+002	9.84970E+000	1.03180E-006	3.97230E+000	3.41621E-002	6.31700E-001	7.73000E-011	1.44200E-010
105	27	10	1	1.36000E-002	1.14000E-002	7.40000E-003	1.30660E-009	2.13790E-009	7.34421E+002	7.42817E+002	8.39560E+000	1.03420E-006	3.93700E+000	3.40207E-002	6.31200E-001	1.48000E-010	5.65700E-010
109	25	10	1	1.35000E-002	1.14000E-002	7.40000E-003	1.04200E-009	1.74450E-009	7.26521E+002	7.38505E+002	1.19840E+001	1.07200E-006	3.94310E+000	3.38194E-002	6.32000E-001	6.29200E-010	4.66200E-010
113	23	10	1	1.36000E-002	1.12000E-002	7.40000E-003	8.43000E-010	2.02080E-009	7.28935E+002	7.38149E+002	9.21420E+000	1.04030E-006	3.91950E+000	3.36411E-002	6.31900E-001	1.16800E-010	2.30000E-012
117	21	10	1	1.36000E-002	1.13000E-002	7.40000E-003	1.47990E-009	2.24090E-009	7.32296E+002	7.39581E+002	7.28580E+000	1.02040E-006	3.93330E+000	3.36109E-002	6.31900E-001	8.02900E-010	2.37200E-010
121	19	10	1	1.35000E-002	1.14000E-002	7.40000E-003	4.77700E-010	1.47990E-009	7.24814E+002	7.37305E+002	1.24914E+001	1.07660E-006	3.93820E+000	3.38811E-002	6.32600E-001	5.14400E-010	8.22000E-011
125	17	10	1	1.35000E-002	1.14000E-002	7.50000E-003	2.22400E-010	1.71870E-009	7.28399E+002	7.37188E+002	8.78870E+000	1.07840E-006	3.98180E+000	3.40324E-002	6.32200E-001	1.99700E-010	1.70900E-010
129	15	10	1	1.35000E-002	1.14000E-002	7.50000E-003	5.45600E-010	2.18940E-009	7.32847E+002	7.41475E+002	8.62800E+000	1.01430E-006	4.02970E+000	3.42179E-002	6.32200E-001	4.10000E-011	3.81400E-010
133	13	10	1	1.35000E-002	1.16000E-002	7.50000E-003	6.22900E-010	2.25960E-009	7.31280E+002	7.42055E+002	1.07753E+001	9.71600E-007	4.09210E+000	3.42368E-002	6.33000E-001	7.39700E-010	3.88900E-010
137	11	10	1	1.35000E-002	1.15000E-002	7.50000E-003	1.19190E-009	2.44690E-009	7.47216E+002	7.50691E+002	3.47560E+000	8.08600E-007	4.14140E+000	3.35747E-002	6.33500E-001	1.76600E-010	4.83500E-010
141	9	10	1	1.35000E-002	1.14000E-002	7.40000E-003	8.90000E-011	2.70450E-009	7.44576E+002	7.47062E+002	2.48530E+000	9.11100E-007	4.18510E+000	3.35226E-002	6.32600E-001	3.62200E-010	1.62500E-010
148	6	12	1	1.35000E-002	1.13000E-002	7.40000E-003	6.55600E-010	2.35560E-009	7.06622E+002	7.14059E+002	7.43750E+000	1.19320E-006	4.20700E+000	3.39476E-002	6.33000E-001	3.01400E-010	7.59000E-011
152	8	12	1	1.36000E-002	1.12000E-002	7.50000E-003	5.59600E-010	2.45400E-009	7.44308E+002	7.46269E+002	1.96130E+000	8.91300E-007	4.16530E+000	3.34625E-002	6.32600E-001	1.13140E-009	4.20000E-012
156	10	12	1	1.35000E-002	1.13000E-002	7.40000E-003	3.62900E-010	2.38370E-009	7.40813E+002	7.49527E+002	8.71370E+000	9.00700E-007	4.12830E+000	3.38945E-002	6.32300E-001	8.28400E-010	1.30700E-010
160	12	12	1	1.35000E-002	1.12000E-002	7.40000E-003	6.81400E-010	2.07230E-009	7.41079E+002	7.50065E+002	8.98620E+000	9.33000E-007	4.06240E+000	3.37854E-002	6.32600E-001	9.29400E-010	1.30000E-010
164	14	12	1	1.35000E-002	1.13000E-002	7.50000E-003	4.56600E-010	2.25020E-009	7.36875E+002	7.46258E+002	9.38300E+000	9.67900E-007	3.96410E+000	3.37369E-002	6.32200E-001	5.66400E-010	6.56600E-010
168	16	12	1	1.35000E-002	1.12000E-002	7.50000E-003	2.95000E-010	2.06060E-009	7.32598E+002	7.44521E+002	1.19227E+001	1.00730E-006	3.93910E+000	3.35823E-002	6.31800E-001	1.04900E-010	5.43500E-010
172	18	12	1	1.35000E-002	1.11000E-002	7.50000E-003	2.50500E-010	2.26660E-009	7.35845E+002	7.44283E+002	8.43830E+000	9.70300E-007	3.98120E+000	3.32876E-002	6.31900E-001	2.28100E-010	3.77200E-010
176	20	12	1	1.35000E-002	1.14000E-002	7.40000E-003	4.19100E-010	1.99270E-009	7.34138E+002	7.43505E+002	9.36770E+000	9.98400E-007	3.97540E+000	3.30564E-002	6.31400E-001	1.59000E-010	2.80100E-010
180	22	12	1	1.36000E-002	1.13000E-002	7.40000E-003	7.82100E-010	1.40960E-009	7.28731E+002	7.40551E+002	1.18195E+001	1.04630E-006	3.98190E+000	3.29802E-002	6.31100E-001	3.24300E-010	4.65500E-010
184	24	12	1	1.35000E-002	1.13000E-002	7.40000E-003	6.32200E-010	2.69280E-009	7.37366E+002	7.45874E+002	8.50850E+000	9.74100E-007	3.95320E+000	3.29517E-002	6.31100E-001	2.68100E-010	2.31100E-010
188	26	12	1	1.35000E-002	1.13000E-002	7.40000E-003	7.70400E-010	2.22920E-009	7.36249E+002	7.44478E+002	8.22850E+000	9.36100E-007	3.89170E+000	3.31899E-002	6.32000E-001	3.71100E-010	1.26000E-011
192	28	12	1	1.35000E-002	1.13000E-002	7.40000E-003	9.76400E-010	1.90840E-009	7.33981E+002	7.44636E+002	1.06548E+001	9.96400E-007	3.91670E+000	3.33556E-002	6.31600E-001	1.77500E-010	4.75600E-010
196	30	12	1	1.35000E-002	1.13000E-002	7.50000E-003	8.35900E-010	2.50310E-009	7.45488E+002	7.52761E+002	7.27310E+000	9.08100E-007	3.93560E+000	3.33631E-002	6.31400E-001	4.32000E-010	1.66000E-010
200	32	12	1	1.36000E-002	1.13000E-002	7.40000E-003	6.93100E-010	2.04890E-009	7.43326E+002	7.52666E+002	9.34040E+000	9.02700E-007	3.94440E+000	3.34760E-002	6.31900E-001	8.25900E-010	3.85700E-010
204	34	12	1	1.35000E-002	1.13000E-002	7.40000E-003	6.83700E-010	1.74210E-009	7.45235E+002	7.53863E+002	8.62780E+000	8.19100E-007	4.01930E+000	3.35452E-002	6.32700E-001	6.22200E-010	4.71400E-010
208	36	12	1	1.36000E-002	1.13000E-002	7.50000E-003	3.46600E-010	2.01840E-009	7.42284E+002	7.44186E+002	1.90120E+000	8.72800E-007	4.08450E+000	3.29349E-002	6.32500E-001	2.90000E-011	2.16100E-010
212	38	12	1	1.34000E-002	1.09000E-002	7.00000E-003	1.31360E-009	2.30410E-009	7.01799E+002	7.08895E+002	7.09620E+000	1.15240E-006	3.81140E+000	3.36685E-002	6.32300E-001	6.95700E-010	2.70000E-010
214	39	14	1	1.34000E-002	1.11000E-002	6.90000E-003	1.66300E-010	2.64600E-009	6.99228E+002	7.05896E+002	6.66850E+000	1.17110E-006	3.78620E+000	3.36499E-002	6.32100E-001	4.45400E-010	8.90000E-012
216	37	14	1	1.36000E-002	1.13000E-002	7.40000E-003	8.90000E-011	2.10740E-009	7.44239E+002	7.45621E+002	1.38190E+000	8.71800E-007	4.08620E+000	3.30523E-002	6.32400E-001	5.29000E-011	4.37900E-010
220	35	14	1	1.35000E-002	1.14000E-002	7.40000E-003	3.55900E-010	2.19640E-009	7.46548E+002	7.53224E+002	6.67570E+000	8.58400E-007	3.98480E+000	3.38151E-002	6.31600E-001	9.24900E-010	6.35700E-010
224	33	14	1	1.35000E-002	1.14000E-002	7.40000E-003	5.15000E-011	2.09100E-009	7.48278E+002	7.53884E+002	5.60560E+000	8.79400E-007	3.96040E+000	3.38098E-002	6.31400E-001	2.03700E-010	7.63800E-010
228	31	14	1	1.35000E-002	1.14000E-002	7.40000E-003	5.01100E-010	2.54530E-009	7.37639E+002	7.47638E+002	9.99870E+000	9.15800E-007	3.92350E+000	3.34203E-002	6.32000E-001	3.51200E-010	1.43800E-010
232	29	14	1	1.35000E-002	1.13000E-002	7.40000E-003	4.77700E-010	1.67190E-009	7.38344E+002	7.46556E+002	8.21180E+000	9.57200E-007	3.88400E+000	3.31121E-002	6.31200E-001	2.34200E-010	4.28000E-010
236	27	14	1	1.36000E-002	1.14000E-002	7.40000E-003	8.14900E-010	1.85220E-009	7.34625E+002	7.44348E+002	9.72250E+000	9.74300E-007	3.93630E+000	3.27089E-002	6.31600E-001	7.08600E-010	1.13600E-010
240	25	14	1	1.35000E-002	1.13000E-002	7.40000E-003	6.06500E-010	2.26200E-009	7.27843E+002	7.37836E+002	9.99310E+000	1.06500E-006	3.98080E+000	3.24394E-002	6.31200E-001	6.97100E-010	1.65300E-010
244	23	14	1	1.36000E-002	1.14000E-002	7.40000E-003	2.55200E-010	1.83810E-009	7.24328E+002	7.32769E+002	8.44110E+000	1.07050E-006	4.01930E+000	3.23287E-002	6.31900E-001	6.47000E-010	6.51900E-010
248	21	14	1	1.36000E-002	1.13000E-002	7.50000E-003	4.96400E-010	2.10510E-009	7.25853E+002	7.34300E+002	8.44700E+000	1.10460E-006	4.06300E+000	3.25198E-002	6.31200E-001	1.00500E-010	5.87500E-010
252	19	14	1	1.35000E-002	1.14000E-002	7.40000E-003	3.70000E-010	2.48210E-009	7.27243E+002	7.37053E+002	9.81050E+000	1.06940E-006	4.05750E+000	3.26284E-002	6.31300E-001	1.29000E-010	2.48400E-010
256	17	14	1	1.35000E-002	1.13000E-002	7.50000E-003	1.03030E-009	2.03950E-009	7.31449E+002	7.42539E+002	1.10900E+001	9.90700E-007	3.99340E+000	3.30125E-002	6.31700E-001	3.44000E-011	8.41000E-011
260	15	14	1	1.35000E-002	1.15000E-002	7.50000E-003	1.99000E-010	2.80520E-009	7.38299E+002	7.47888E+002	9.58890E+000	9.69400E-007	3.97360E+000	3.32479E-002	6.31600E-001	7.82000E-011	5.29900E-010
264	13	14	1	1.35000E-002	1.14000E-002	7.50000E-003	7.02500E-010	1.90840E-009	7.31244E+002	7.42754E+002	1.15105E+001	1.00960E-006	4.01610E+000	3.36550E-002	6.32300E-001	5.80000E-010	5.12300E-010
268	11	14	1	1.36000E-002	1.13000E-002	7.40000E-003	1.15910E-009	2.21750E-009	7.34069E+002	7.40354E+002	6.28490E+000	1.01300E-006	4.05390E+000	3.41350E-002	6.32000E-001	4.91300E-010	5.06700E-010
272	9	14	1	1.35000E-002	1.14000E-002	7.50000E-003	1.33700E-009	2.19410E-009	7.38359E+002	7.47209E+002	8.84950E+000	9.39900E-007	4.15310E+000	3.42597E-002	6.32300E-001	8.25600E-010	2.42100E-010
276	7	14	1	1.35000E-002	1.15000E-002	7.40000E-003	6.13500E-010	2.58510E-009	7.42144E+002	7.46190E+002	4.04590E+000	8.87000E-007	4.20020E+000	3.35670E-002	6.32800E-001	6.03700E-010	3.77700E-010
280	5	14	8	1.35000E-002	1.13000E-002	7.40000E-003	3.41900E-010	2.70220E-009	6.71263E+002	6.84290E+002	1.30264E+001	1.38288E-005
284	5	16	4	1.35000E-002	1.12000E-002	7.40000E-003	1.51730E-009	1.95835E-007
288	7	16	1	1.35000E-002	1.12000E-002	7.40000E-003	6.97800E-010	2.50550E-009	7.38518E+002	7.44476E+002	5.95830E+000	9.21000E-007	4.19450E+000	3.37564E-002	6.32500E-001	5.19600E-010	4.42800E-010
292	9	16	1	1.35000E-002	1.12000E-002	7.40000E-003	4.68000E-011	2.14960E-009	7.29466E+002	7.40136E+002	1.06708E+001	1.01900E-006	4.14690E+000	3.44357E-002	6.32200E-001	2.28500E-010	5.69700E-010
296	11	16	3	1.35000E-002	1.12000E-002	7.50000E-003	1.39140E-005
300	13	16	1	1.35000E-002	1.13000E-002	7.40000E-003	8.78100E-010	2.12150E-009	7.26826E+002	7.39517E+002	1.26916E+001	1.05260E-006	3.97880E+000	3.36351E-002	6.32000E-001	2.88700E-010	3.02000E-011
304	15	16	1	1.35000E-002	1.13000E-002	7.50000E-003	3.81700E-010	2.06530E-009	7.36979E+002	7.45804E+002	8.82490E+000	9.44500E-007	3.97770E+000	3.30496E-002	6.32000E-001	1.11250E-009	3.34100E-010
308	17	16	1	1.35000E-002	1.14000E-002	7.40000E-003	3.81700E-010	1.96220E-009	7.30008E+002	7.39832E+002	9.82340E+000	1.03630E-006	4.04390E+000	3.25768E-002	6.31500E-001	6.32700E-010	9.44000E-011
312	19	16	1	1.36000E-002	1.12000E-002	7.50000E-003	4.40200E-010	2.26660E-009	7.20530E+002	7.32885E+002	1.23556E+001	1.08380E-006	4.05490E+000	3.25294E-002	6.32000E-001	4.58000E-010	4.21700E-010
316	21	16	1	1.35000E-002	1.13000E-002	7.40000E-003	3.81700E-010	1.84050E-009	7.20893E+002	7.23685E+002	2.79270E+000	1.20680E-006	4.04730E+000	3.22302E-002	6.30700E-001	4.11400E-010	1.47800E-010
320	23	16	1	1.36000E-002	1.13000E-002	7.50000E-003	4.98800E-010	1.86150E-009	7.19352E+002	7.24505E+002	5.15310E+000	1.20960E-006	4.03290E+000	3.21679E-002	6.30700E-001	1.91800E-010	2.04000E-011
324	25	16	1	1.35000E-002	1.12000E-002	7.40000E-003	5.17500E-010	1.74920E-009	7.22943E+002	7.32537E+002	9.59370E+000	1.04420E-006	3.98040E+000	3.22627E-002	6.32100E-001	9.85300E-010	4.70400E-010
328	27	16	1	1.35000E-002	1.13000E-002	7.50000E-003	4.70000E-012	1.97160E-009	7.34138E+002	7.37861E+002	3.72340E+000	9.80300E-007	3.93710E+000	3.22145E-002	6.31500E-001	1.05000E-011	3.62500E-010
332	29	16	1	1.34000E-002	1.13000E-002	7.40000E-003	5.15000E-011	1.81710E-009	7.39745E+002	7.47248E+002	7.50320E+000	9.06000E-007	3.91160E+000	3.28207E-002	6.31600E-001	3.19600E-010	2.03700E-010
336	31	16	1	1.35000E-002	1.13000E-002	7.50000E-003	4.68000E-011	2.36970E-009	7.39682E+002	7.49825E+002	1.01422E+001	9.13800E-007	3.89820E+000	3.33612E-002	6.31500E-001	2.98300E-010	7.73200E-010
340	33	16	1	1.35000E-002	1.12000E-002	7.40000E-003	4.98800E-010	1.85920E-009	7.47864E+002	7.54325E+002	6.46030E+000	8.81200E-007	3.96070E+000	3.37419E-002	6.31400E-001	1.33000E-011	6.47000E-010
344	35	16	1	1.35000E-002	1.13000E-002	7.40000E-003	6.51000E-010	2.49610E-009	7.42696E+002	7.51253E+002	8.55690E+000	8.53600E-007	3.98560E+000	3.39678E-002	6.31700E-001	6.27500E-010	4.04200E-010
348	37	16	1	1.35000E-002	1.13000E-002	7.50000E-003	7.61000E-010	2.38140E-009	7.43656E+002	7.44988E+002	1.33190E+000	8.65100E-007	4.05270E+000	3.31626E-002	6.32100E-001	4.65700E-010	2.77200E-010
352	39	16	1	1.34000E-002	1.07000E-002	7.00000E-003	1.06310E-009	2.38370E-009	7.26789E+002	7.30259E+002	3.47020E+000	9.90600E-007	4.12380E+000	3.33745E-002	6.32900E-001	4.99000E-011	3.35500E-010
354	38	18	1	1.34000E-002	1.07000E-002	7.00000E-003	9.55400E-010	2.20810E-009	7.40741E+002	7.42316E+002	1.57500E+000	9.26400E-007	4.09760E+000	3.29542E-002	6.32800E-001	7.60500E-010	3.78400E-010
356	36	18	1	1.36000E-002	1.11000E-002	7.40000E-003	3.04400E-010	1.87560E-009	7.44458E+002	7.45954E+002	1.49580E+000	8.21000E-007	4.04590E+000	3.31117E-002	6.32500E-001	7.85100E-010	4.25900E-010
360	34	18	1	1.35000E-002	1.12000E-002	7.40000E-003	3.77000E-010	2.14960E-009	7.43734E+002	7.53299E+002	9.56470E+000	8.46300E-007	3.98680E+000	3.39068E-002	6.32500E-001	5.16600E-010	2.09100E-010
364	32	18	1	1.36000E-002	1.12000E-002	7.50000E-003	7.30600E-010	2.05120E-009	7.45809E+002	7.51411E+002	5.60230E+000	8.83600E-007	3.95840E+000	3.36101E-002	6.31600E-001	2.32800E-010	1.32500E-010
368	30	18	1	1.36000E-002	1.12000E-002	7.40000E-003	1.59200E-010	1.86150E-009	7.47275E+002	7.52550E+002	5.27480E+000	8.68700E-007	3.90980E+000	3.32198E-002	6.31600E-001	2.55000E-011	1.15000E-011
372	28	18	1	1.35000E-002	1.12000E-002	7.40000E-003	6.93100E-010	1.99500E-009	7.40623E+002	7.48451E+002	7.82770E+000	8.82600E-007	3.90680E+000	3.28949E-002	6.32200E-001	5.54700E-010	4.01800E-010
376	26	18	1	1.35000E-002	1.11000E-002	7.40000E-003	6.72000E-010	2.40950E-009	7.35319E+002	7.41044E+002	5.72540E+000	9.93100E-007	3.93900E+000	3.24819E-002	6.31400E-001	2.46600E-010	3.54000E-011
380	24	18	1	1.36000E-002	1.12000E-002	7.50000E-003	7.07200E-010	2.06290E-009	7.30323E+002	7.37071E+002	6.74830E+000	1.04280E-006	3.97010E+000	3.23036E-002	6.31400E-001	8.51600E-010	4.82400E-010
384	22	18	1	1.35000E-002	1.12000E-002	7.40000E-003	7.00000E-012	2.06290E-009	7.23375E+002	7.35477E+002	1.21024E+001	1.08840E-006	4.00080E+000	3.25256E-002	6.31400E-001	4.77200E-010	3.85200E-010
388	20	18	1	1.35000E-002	1.11000E-002	7.40000E-003	2.17800E-010	1.95760E-009	7.27119E+002	7.36620E+002	9.50070E+000	1.07200E-006	4.03060E+000	3.24811E-002	6.31400E-001	1.92900E-010	7.31000E-010
392	18	18	1	1.35000E-002	1.12000E-002	7.40000E-003	5.05800E-010	2.74670E-009	7.33225E+002	7.40766E+002	7.54100E+000	9.97000E-007	3.99310E+000	3.27052E-002	6.31500E-001	1.80800E-010	1.22700E-010
396	16	18	1	1.36000E-002	1.11000E-002	7.50000E-003	5.83100E-010	2.68110E-009	7.32376E+002	7.44441E+002	1.20649E+001	9.62900E-007	3.95080E+000	3.32326E-002	6.31900E-001	5.95700E-010	4.27800E-010
400	14	18	1	1.35000E-002	1.10000E-002	7.50000E-003	9.62400E-010	1.91540E-009	7.35764E+002	7.42736E+002	6.97140E+000	9.70200E-007	3.98550E+000	3.35050E-002	6.32000E-001	4.99700E-010	5.16100E-010
404	12	18	1	1.35000E-002	1.11000E-002	7.50000E-003	7.51600E-010	2.96680E-009	7.33358E+002	7.41819E+002	8.46160E+000	9.73500E-007	4.03480E+000	3.39106E-002	6.32400E-001	1.09050E-009	2.33500E-010
408	10	18	1	1.35000E-002	1.12000E-002	7.40000E-003	4.66000E-010	1.95990E-009	7.23430E+002	7.36175E+002	1.27449E+001	1.08210E-006	4.12090E+000	3.43678E-002	6.32800E-001	3.53100E-010	3.55200E-010
412	8	18	1	1.36000E-002	1.11000E-002	7.40000E-003	7.11800E-010	2.79350E-009	7.41567E+002	7.45425E+002	3.85800E+000	8.93200E-007	4.20860E+000	3.38006E-002	6.32800E-001	6.45300E-010	6.73000E-010
416	6	18	1	1.36000E-002	1.10000E-002	7.40000E-003	5.12800E-010	2.17300E-009	7.32669E+002	7.41087E+002	8.41830E+000	9.92500E-007	4.21170E+000	3.36445E-002	6.33100E-001	4.74200E-010	1.07080E-009
420	7	20	1	1.34000E-002	1.08000E-002	7.20000E-003	3.58300E-010	4.50990E-009	7.21962E+002	7.28263E+002	6.30090E+000	1.04630E-006	4.17140E+000	3.38665E-002	6.33400E-001	6.11600E-010	1.82200E-010
423	9	20	1	1.35000E-002	1.11000E-002	7.40000E-003	6.58000E-010	2.08870E-009	7.42321E+002	7.48565E+002	6.24420E+000	8.94100E-007	4.12900E+000	3.36059E-002	6.32400E-001	6.47700E-010	4.28300E-010
427	11	20	1	1.35000E-002	1.11000E-002	7.40000E-003	1.42800E-010	2.32990E-009	7.29151E+002	7.40108E+002	1.09573E+001	1.05500E-006	4.07470E+000	3.43427E-002	6.32200E-001	3.04900E-010	3.33900E-010
431	13	20	1	1.36000E-002	1.11000E-002	7.40000E-003	8.26600E-010	2.21980E-009	7.19924E+002	7.34409E+002	1.44850E+001	1.18060E-006	3.99880E+000	3.44488E-002	6.31800E-001	4.03200E-010	2.22900E-010
435	15	20	1	1.36000E-002	1.11000E-002	7.40000E-003	5.36200E-010	2.08870E-009	7.36524E+002	7.43742E+002	7.21790E+000	9.61700E-007	3.94030E+000	3.37744E-002	6.32100E-001	5.62000E-011	1.49400E-010
439	17	20	1	1.35000E-002	1.11000E-002	7.40000E-003	8.99200E-010	2.21280E-009	7.35609E+002	7.43623E+002	8.01360E+000	9.74200E-007	3.90480E+000	3.35510E-002	6.31700E-001	4.19100E-010	9.51000E-011
443	19	20	1	1.36000E-002	1.11000E-002	7.50000E-003	5.85400E-010	2.14960E-009	7.33945E+002	7.45008E+002	1.10628E+001	9.92000E-007	3.88090E+000	3.32790E-002	6.31400E-001	3.68600E-010	3.75600E-010
447	21	20	1	1.36000E-002	1.11000E-002	7.50000E-003	5.45600E-010	1.81940E-009	7.38894E+002	7.46768E+002	7.87430E+000	9.22900E-007	3.87540E+000	3.28907E-002	6.32100E-001	6.61000E-010	1.65800E-010
