Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-205708@CP
Wafer number	24
Date	2025/02/13
Time	21:01:58

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
68	25	8	1	1.35000E-002	1.12000E-002	7.50000E-003	1.16140E-009	1.87560E-009	7.22022E+002	7.36020E+002	1.39983E+001	1.02770E-006	4.07430E+000	3.42987E-002	6.33200E-001	9.97500E-010	2.83600E-010
72	27	8	1	1.35000E-002	1.12000E-002	7.40000E-003	6.83700E-010	1.88030E-009	7.36363E+002	7.44671E+002	8.30840E+000	9.10100E-007	4.09240E+000	3.40303E-002	6.33200E-001	8.23300E-010	4.35300E-010
76	29	8	1	1.36000E-002	1.12000E-002	7.40000E-003	5.10500E-010	2.88250E-009	7.39987E+002	7.46459E+002	6.47200E+000	8.14600E-007	4.15210E+000	3.33665E-002	6.34200E-001	6.08600E-010	4.48600E-010
80	31	8	1	1.35000E-002	1.13000E-002	7.50000E-003	3.16100E-010	2.61790E-009	7.34899E+002	7.40778E+002	5.87910E+000	8.97100E-007	4.15600E+000	3.31867E-002	6.33500E-001	4.83500E-010	7.70000E-012
84	33	8	1	1.32000E-002	1.13000E-002	7.30000E-003	3.39500E-010	2.30180E-009	7.16108E+002	7.23608E+002	7.49920E+000	9.93900E-007	4.15310E+000	3.34604E-002	6.34300E-001	9.23000E-011	3.55900E-010
89	35	10	1	1.35000E-002	1.12000E-002	7.40000E-003	7.65700E-010	2.74200E-009	7.36977E+002	7.42977E+002	6.00020E+000	8.99900E-007	4.12370E+000	3.31373E-002	6.33500E-001	3.73700E-010	1.58100E-010
93	33	10	1	1.35000E-002	1.12000E-002	7.40000E-003	2.45900E-010	1.82170E-009	7.45203E+002	7.48054E+002	2.85120E+000	7.78500E-007	4.10180E+000	3.33556E-002	6.33800E-001	5.41100E-010	1.19700E-010
97	31	10	1	1.35000E-002	1.12000E-002	7.40000E-003	1.85000E-010	1.97160E-009	7.24820E+002	7.38728E+002	1.39079E+001	9.84600E-007	4.05940E+000	3.42023E-002	6.33300E-001	1.85500E-010	6.85400E-010
101	29	10	1	1.36000E-002	1.12000E-002	7.40000E-003	4.16800E-010	1.77730E-009	7.20056E+002	7.34902E+002	1.48456E+001	1.03290E-006	4.02990E+000	3.41478E-002	6.33100E-001	9.03800E-010	2.27000E-011
105	27	10	1	1.35000E-002	1.12000E-002	7.40000E-003	2.71600E-010	2.12610E-009	7.25379E+002	7.37563E+002	1.21846E+001	1.02900E-006	3.97010E+000	3.40592E-002	6.32500E-001	7.96400E-010	1.81000E-010
109	25	10	1	1.35000E-002	1.12000E-002	7.40000E-003	4.21000E-011	2.11910E-009	7.16426E+002	7.31797E+002	1.53705E+001	1.08370E-006	3.96000E+000	3.39441E-002	6.33300E-001	2.63700E-010	9.16000E-011
113	23	10	1	1.36000E-002	1.12000E-002	7.40000E-003	5.15100E-010	2.56640E-009	7.24200E+002	7.35979E+002	1.17791E+001	9.98200E-007	3.93750E+000	3.37318E-002	6.33200E-001	2.11000E-010	1.00200E-010
117	21	10	1	1.36000E-002	1.13000E-002	7.50000E-003	5.71300E-010	2.20110E-009	7.31350E+002	7.40819E+002	9.46880E+000	9.27100E-007	3.93240E+000	3.35971E-002	6.33100E-001	9.49000E-010	5.10900E-010
121	19	10	1	1.36000E-002	1.13000E-002	7.40000E-003	1.07480E-009	2.43990E-009	7.23842E+002	7.37026E+002	1.31843E+001	9.92600E-007	3.94580E+000	3.38341E-002	6.33900E-001	5.07000E-010	5.90000E-012
125	17	10	1	1.36000E-002	1.14000E-002	7.50000E-003	6.97800E-010	1.88960E-009	7.28722E+002	7.39526E+002	1.08047E+001	9.69100E-007	3.95140E+000	3.39664E-002	6.33200E-001	1.39560E-009	3.05800E-010
129	15	10	1	1.35000E-002	1.13000E-002	7.40000E-003	1.15210E-009	2.36730E-009	7.34529E+002	7.44040E+002	9.51070E+000	9.10000E-007	3.97980E+000	3.40247E-002	6.33200E-001	8.08100E-010	2.18500E-010
133	13	10	1	1.36000E-002	1.14000E-002	7.50000E-003	3.11400E-010	2.66700E-009	7.28090E+002	7.41090E+002	1.30007E+001	9.07500E-007	4.00810E+000	3.41165E-002	6.33900E-001	6.77200E-010	2.13100E-010
137	11	10	1	1.35000E-002	1.14000E-002	7.50000E-003	8.12500E-010	2.21280E-009	7.43714E+002	7.47641E+002	3.92690E+000	7.63300E-007	4.04500E+000	3.35948E-002	6.34500E-001	6.56100E-010	2.94800E-010
141	9	10	1	1.35000E-002	1.14000E-002	7.50000E-003	7.32900E-010	3.15180E-009	7.40651E+002	7.46380E+002	5.72870E+000	8.72400E-007	4.08160E+000	3.34623E-002	6.33400E-001	4.88200E-010	5.20000E-012
148	6	12	1	1.35000E-002	1.13000E-002	7.40000E-003	5.01100E-010	2.64600E-009	6.96972E+002	7.08019E+002	1.10473E+001	1.12710E-006	4.08750E+000	3.39091E-002	6.33800E-001	1.36000E-010	5.73900E-010
152	8	12	1	1.35000E-002	1.13000E-002	7.40000E-003	3.04000E-011	2.57100E-009	7.42132E+002	7.44078E+002	1.94570E+000	8.42500E-007	4.05930E+000	3.33932E-002	6.33400E-001	5.28500E-010	2.46000E-011
156	10	12	1	1.35000E-002	1.12000E-002	7.40000E-003	9.27300E-010	2.60150E-009	7.36488E+002	7.46076E+002	9.58800E+000	8.66200E-007	4.04300E+000	3.40393E-002	6.33000E-001	1.48000E-010	1.04700E-010
160	12	12	1	1.36000E-002	1.12000E-002	7.40000E-003	6.43900E-010	2.39540E-009	7.34751E+002	7.45332E+002	1.05813E+001	9.10700E-007	4.01370E+000	3.38651E-002	6.33300E-001	4.88200E-010	2.39100E-010
164	14	12	1	1.35000E-002	1.13000E-002	7.40000E-003	7.58700E-010	3.04400E-009	7.30273E+002	7.40743E+002	1.04701E+001	9.58200E-007	3.92410E+000	3.37491E-002	6.33100E-001	4.80000E-011	7.17000E-011
168	16	12	1	1.35000E-002	1.12000E-002	7.40000E-003	9.90500E-010	2.37440E-009	7.21151E+002	7.35341E+002	1.41902E+001	1.04940E-006	3.92590E+000	3.35928E-002	6.32900E-001	8.03600E-010	5.04800E-010
172	18	12	1	1.36000E-002	1.12000E-002	7.40000E-003	7.91500E-010	2.68110E-009	7.27696E+002	7.37895E+002	1.01986E+001	9.73000E-007	3.94060E+000	3.33576E-002	6.33100E-001	5.22900E-010	3.30000E-011
176	20	12	1	1.35000E-002	1.12000E-002	7.40000E-003	6.34600E-010	2.29940E-009	7.23454E+002	7.35660E+002	1.22067E+001	1.01460E-006	3.93610E+000	3.32292E-002	6.32400E-001	9.93000E-011	6.57500E-010
180	22	12	1	1.35000E-002	1.13000E-002	7.40000E-003	3.30200E-010	2.01380E-009	7.18757E+002	7.32659E+002	1.39019E+001	1.04800E-006	3.98380E+000	3.31285E-002	6.32400E-001	4.44900E-010	8.38000E-011
184	24	12	1	1.35000E-002	1.12000E-002	7.40000E-003	8.03200E-010	1.79600E-009	7.25438E+002	7.35705E+002	1.02668E+001	1.00150E-006	3.96910E+000	3.31430E-002	6.32500E-001	6.91900E-010	1.03000E-011
188	26	12	1	1.36000E-002	1.12000E-002	7.40000E-003	5.69000E-010	1.93880E-009	7.20966E+002	7.32419E+002	1.14530E+001	1.02190E-006	3.91650E+000	3.34275E-002	6.33300E-001	7.36700E-010	1.38000E-011
192	28	12	1	1.36000E-002	1.12000E-002	7.50000E-003	6.41600E-010	2.00440E-009	7.22772E+002	7.36435E+002	1.36629E+001	1.03190E-006	3.96440E+000	3.35289E-002	6.33000E-001	3.44000E-011	1.26200E-010
196	30	12	1	1.35000E-002	1.12000E-002	7.40000E-003	5.83100E-010	2.11680E-009	7.32524E+002	7.42149E+002	9.62580E+000	9.69300E-007	3.97700E+000	3.36664E-002	6.32800E-001	7.10000E-010	1.44000E-010
200	32	12	1	1.35000E-002	1.12000E-002	7.40000E-003	4.19100E-010	2.20110E-009	7.29096E+002	7.40721E+002	1.16251E+001	9.58400E-007	3.99790E+000	3.36883E-002	6.33300E-001	3.14700E-010	3.89400E-010
204	34	12	1	1.35000E-002	1.13000E-002	7.40000E-003	3.95700E-010	2.35560E-009	7.39470E+002	7.50056E+002	1.05854E+001	7.80100E-007	4.09800E+000	3.36314E-002	6.34300E-001	4.80000E-010	9.34000E-011
208	36	12	1	1.35000E-002	1.13000E-002	7.40000E-003	7.04800E-010	2.41880E-009	7.40514E+002	7.42686E+002	2.17140E+000	8.07400E-007	4.13720E+000	3.29671E-002	6.34100E-001	2.03200E-010	2.65100E-010
212	38	12	1	1.35000E-002	1.07000E-002	7.00000E-003	1.02790E-009	2.57340E-009	7.07186E+002	7.13835E+002	6.64900E+000	1.01230E-006	4.09100E+000	3.36647E-002	6.34400E-001	5.55000E-011	4.46800E-010
214	39	14	1	1.35000E-002	1.07000E-002	7.00000E-003	1.05840E-009	2.69050E-009	7.03402E+002	7.10838E+002	7.43600E+000	1.01400E-006	4.12420E+000	3.36942E-002	6.34100E-001	7.15300E-010	1.33200E-010
216	37	14	1	1.36000E-002	1.12000E-002	7.40000E-003	1.17310E-009	2.72560E-009	7.40584E+002	7.44033E+002	3.44880E+000	8.24900E-007	4.14160E+000	3.30921E-002	6.33700E-001	2.51300E-010	3.84700E-010
220	35	14	1	1.35000E-002	1.13000E-002	7.40000E-003	7.32900E-010	2.04180E-009	7.37668E+002	7.47748E+002	1.00796E+001	8.30800E-007	4.06910E+000	3.39385E-002	6.33200E-001	7.46300E-010	2.95700E-010
224	33	14	1	1.36000E-002	1.14000E-002	7.40000E-003	7.09500E-010	2.56640E-009	7.38817E+002	7.45584E+002	6.76740E+000	8.89500E-007	4.04540E+000	3.38648E-002	6.32900E-001	6.76000E-010	3.12100E-010
228	31	14	1	1.35000E-002	1.12000E-002	7.40000E-003	1.09590E-009	1.94820E-009	7.20692E+002	7.34815E+002	1.41232E+001	1.01320E-006	3.97770E+000	3.36251E-002	6.33800E-001	3.04000E-011	2.23200E-010
232	29	14	1	1.36000E-002	1.12000E-002	7.40000E-003	6.79100E-010	2.05590E-009	7.22178E+002	7.33739E+002	1.15610E+001	1.03590E-006	3.92990E+000	3.34276E-002	6.32700E-001	8.51400E-010	2.86000E-011
236	27	14	1	1.35000E-002	1.13000E-002	7.40000E-003	5.10500E-010	2.67640E-009	7.20859E+002	7.35214E+002	1.43545E+001	1.03470E-006	3.98340E+000	3.30438E-002	6.32800E-001	4.46500E-010	3.09600E-010
240	25	14	1	1.35000E-002	1.13000E-002	7.40000E-003	9.39000E-010	2.44930E-009	7.08295E+002	7.23737E+002	1.54427E+001	1.17170E-006	4.01500E+000	3.28933E-002	6.32600E-001	6.80200E-010	6.44000E-011
244	23	14	1	1.35000E-002	1.13000E-002	7.40000E-003	8.12500E-010	1.60160E-009	7.08926E+002	7.21366E+002	1.24400E+001	1.10910E-006	4.03000E+000	3.27371E-002	6.33100E-001	9.03600E-010	1.45000E-011
248	21	14	1	1.36000E-002	1.14000E-002	7.50000E-003	4.82400E-010	1.81240E-009	7.14034E+002	7.25248E+002	1.12146E+001	1.10780E-006	4.07200E+000	3.27791E-002	6.32600E-001	3.24300E-010	8.73000E-011
252	19	14	1	1.36000E-002	1.13000E-002	7.40000E-003	9.20200E-010	2.20810E-009	7.11687E+002	7.25574E+002	1.38870E+001	1.13340E-006	4.04440E+000	3.29006E-002	6.32400E-001	1.92500E-010	5.48000E-011
256	17	14	1	1.35000E-002	1.12000E-002	7.50000E-003	1.55710E-009	1.87560E-009	7.17717E+002	7.32868E+002	1.51515E+001	1.04880E-006	3.96210E+000	3.32106E-002	6.32800E-001	1.49600E-010	1.80000E-011
260	15	14	1	1.35000E-002	1.13000E-002	7.50000E-003	8.82800E-010	2.39070E-009	7.28764E+002	7.40115E+002	1.13519E+001	9.81100E-007	3.95990E+000	3.34514E-002	6.32700E-001	5.71600E-010	1.62300E-010
264	13	14	1	1.35000E-002	1.14000E-002	7.40000E-003	8.52300E-010	2.37200E-009	7.21536E+002	7.36186E+002	1.46505E+001	1.02810E-006	3.98150E+000	3.36919E-002	6.33300E-001	6.05500E-010	9.60000E-011
268	11	14	1	1.35000E-002	1.13000E-002	7.40000E-003	7.11800E-010	2.61550E-009	7.25123E+002	7.36419E+002	1.12957E+001	1.00430E-006	4.00760E+000	3.41638E-002	6.32900E-001	3.62500E-010	5.59900E-010
272	9	14	1	1.36000E-002	1.13000E-002	7.50000E-003	7.25900E-010	2.37200E-009	7.35611E+002	7.45599E+002	9.98830E+000	8.79400E-007	4.06940E+000	3.41696E-002	6.33100E-001	3.61100E-010	3.29500E-010
276	7	14	1	1.35000E-002	1.14000E-002	7.50000E-003	7.75100E-010	2.72560E-009	7.40800E+002	7.44323E+002	3.52250E+000	8.36000E-007	4.09920E+000	3.34217E-002	6.33500E-001	6.58000E-010	8.06000E-011
280	5	14	5	1.36000E-002	1.12000E-002	7.50000E-003	7.72700E-010	3.99470E-009	6.58241E+002
284	5	16	1	1.35000E-002	1.12000E-002	7.40000E-003	6.56000E-011	8.17349E-008	7.04275E+002	7.11590E+002	7.31490E+000	1.03460E-006	4.11990E+000	3.38645E-002	6.33900E-001	4.66200E-010	3.35000E-011
288	7	16	1	1.35000E-002	1.12000E-002	7.40000E-003	6.72000E-010	2.34860E-009	7.38726E+002	7.43689E+002	4.96320E+000	8.55200E-007	4.12740E+000	3.36584E-002	6.33400E-001	2.41400E-010	1.67900E-010
292	9	16	1	1.35000E-002	1.12000E-002	7.40000E-003	7.37600E-010	2.94340E-009	7.26216E+002	7.40070E+002	1.38537E+001	9.29400E-007	4.10050E+000	3.43534E-002	6.33200E-001	3.77000E-011	5.46500E-010
296	11	16	1	1.35000E-002	1.12000E-002	7.40000E-003	4.28500E-010	2.49850E-009	7.19922E+002	7.33817E+002	1.38949E+001	1.06190E-006	4.05200E+000	3.41717E-002	6.32700E-001	9.81000E-011	1.93200E-010
300	13	16	1	1.36000E-002	1.12000E-002	7.40000E-003	4.14500E-010	2.54530E-009	7.24314E+002	7.37794E+002	1.34804E+001	9.97200E-007	3.97960E+000	3.36831E-002	6.33100E-001	3.50500E-010	4.80000E-011
304	15	16	1	1.35000E-002	1.12000E-002	7.40000E-003	1.26910E-009	2.15890E-009	7.27594E+002	7.38798E+002	1.12039E+001	9.39300E-007	3.98950E+000	3.32330E-002	6.33200E-001	6.96400E-010	6.22200E-010
308	17	16	1	1.35000E-002	1.12000E-002	7.40000E-003	6.69700E-010	2.21510E-009	7.18643E+002	7.30979E+002	1.23362E+001	1.05300E-006	4.06900E+000	3.28510E-002	6.32700E-001	7.30800E-010	4.63600E-010
312	19	16	1	1.36000E-002	1.12000E-002	7.50000E-003	3.81700E-010	1.41200E-009	7.07499E+002	7.23758E+002	1.62586E+001	1.10500E-006	4.09630E+000	3.28180E-002	6.33500E-001	1.93400E-010	4.17000E-010
316	21	16	1	1.35000E-002	1.12000E-002	7.40000E-003	4.16800E-010	1.52440E-009	7.04490E+002	7.14894E+002	1.04040E+001	1.18360E-006	4.11540E+000	3.25393E-002	6.32200E-001	8.47600E-010	1.62300E-010
320	23	16	1	1.36000E-002	1.14000E-002	7.50000E-003	2.76300E-010	2.21280E-009	7.01306E+002	7.11849E+002	1.05431E+001	1.22850E-006	4.10250E+000	3.25922E-002	6.32200E-001	3.41400E-010	6.96100E-010
324	25	16	1	1.36000E-002	1.14000E-002	7.40000E-003	2.08400E-010	2.15660E-009	7.05353E+002	7.22621E+002	1.72678E+001	1.12470E-006	4.07590E+000	3.27466E-002	6.33500E-001	7.54700E-010	6.28900E-010
328	27	16	1	1.35000E-002	1.13000E-002	7.40000E-003	8.43000E-011	2.15420E-009	7.20893E+002	7.30957E+002	1.00631E+001	1.01750E-006	3.99720E+000	3.27107E-002	6.32700E-001	2.83000E-011	1.19000E-011
332	29	16	1	1.35000E-002	1.13000E-002	7.50000E-003	9.41300E-010	2.11440E-009	7.24205E+002	7.36148E+002	1.19431E+001	9.79400E-007	3.96510E+000	3.33166E-002	6.33100E-001	1.37700E-010	3.54700E-010
336	31	16	1	1.36000E-002	1.14000E-002	7.50000E-003	6.76700E-010	2.21750E-009	7.24088E+002	7.37879E+002	1.37909E+001	9.97600E-007	3.96100E+000	3.36764E-002	6.32900E-001	5.81000E-011	2.20600E-010
340	33	16	1	1.35000E-002	1.13000E-002	7.40000E-003	7.58700E-010	1.98100E-009	7.35776E+002	7.43667E+002	7.89010E+000	9.17300E-007	4.02170E+000	3.38796E-002	6.32900E-001	4.88000E-010	2.20600E-010
344	35	16	1	1.35000E-002	1.12000E-002	7.50000E-003	1.26680E-009	2.18230E-009	7.34046E+002	7.44383E+002	1.03370E+001	8.54200E-007	4.07830E+000	3.40250E-002	6.33300E-001	1.07150E-009	3.15200E-010
348	37	16	1	1.35000E-002	1.12000E-002	7.50000E-003	6.69700E-010	2.28300E-009	7.42185E+002	7.44194E+002	2.00910E+000	8.18900E-007	4.12680E+000	3.32005E-002	6.33500E-001	3.13300E-010	1.72300E-010
352	39	16	1	1.34000E-002	1.08000E-002	7.00000E-003	5.05800E-010	2.95740E-009	7.29101E+002	7.32982E+002	3.88140E+000	8.91300E-007	4.15270E+000	3.33801E-002	6.34400E-001	5.47700E-010	8.33400E-010
354	38	18	1	1.35000E-002	1.07000E-002	7.00000E-003	4.49600E-010	3.12830E-009	7.41088E+002	7.43527E+002	2.43960E+000	8.47200E-007	4.16560E+000	3.30270E-002	6.34200E-001	2.42800E-010	2.76300E-010
356	36	18	1	1.35000E-002	1.12000E-002	7.40000E-003	7.79700E-010	2.80750E-009	7.44725E+002	7.46125E+002	1.39910E+000	7.53000E-007	4.12650E+000	3.31977E-002	6.34000E-001	7.66000E-011	5.57800E-010
360	34	18	1	1.35000E-002	1.12000E-002	7.40000E-003	3.06700E-010	2.74670E-009	7.35974E+002	7.48707E+002	1.27332E+001	8.37500E-007	4.05880E+000	3.40397E-002	6.33900E-001	1.63200E-010	1.55500E-010
364	32	18	1	1.35000E-002	1.12000E-002	7.40000E-003	7.75100E-010	1.76090E-009	7.36270E+002	7.44546E+002	8.27670E+000	8.89800E-007	4.01890E+000	3.38429E-002	6.32900E-001	1.86900E-010	1.86600E-010
368	30	18	1	1.36000E-002	1.12000E-002	7.40000E-003	9.92800E-010	2.51720E-009	7.38694E+002	7.46176E+002	7.48250E+000	8.66400E-007	3.96790E+000	3.33142E-002	6.33100E-001	8.35900E-010	4.55200E-010
372	28	18	1	1.35000E-002	1.11000E-002	7.40000E-003	2.20100E-010	1.61100E-009	7.25910E+002	7.39592E+002	1.36826E+001	9.14600E-007	3.97010E+000	3.30580E-002	6.33800E-001	7.00800E-010	8.62000E-011
376	26	18	1	1.36000E-002	1.12000E-002	7.40000E-003	7.51600E-010	1.94820E-009	7.22256E+002	7.30901E+002	8.64500E+000	1.02460E-006	4.04460E+000	3.27751E-002	6.32700E-001	8.59800E-010	2.61100E-010
380	24	18	1	1.35000E-002	1.12000E-002	7.50000E-003	2.52900E-010	2.14020E-009	7.18935E+002	7.29347E+002	1.04111E+001	1.05150E-006	4.08430E+000	3.26921E-002	6.32700E-001	4.02000E-010	2.26200E-010
384	22	18	1	1.35000E-002	1.11000E-002	7.40000E-003	6.62700E-010	2.07230E-009	7.10512E+002	7.26885E+002	1.63726E+001	1.09260E-006	4.09760E+000	3.28933E-002	6.32800E-001	9.41000E-011	1.41700E-010
388	20	18	1	1.35000E-002	1.11000E-002	7.40000E-003	9.03800E-010	2.46800E-009	7.17872E+002	7.29754E+002	1.18826E+001	1.04260E-006	4.12190E+000	3.27208E-002	6.32900E-001	1.00200E-010	1.83800E-010
392	18	18	1	1.35000E-002	1.12000E-002	7.40000E-003	3.16100E-010	2.21510E-009	7.24371E+002	7.33845E+002	9.47390E+000	9.76900E-007	4.09050E+000	3.28107E-002	6.33000E-001	4.70200E-010	5.13000E-011
396	16	18	1	1.35000E-002	1.12000E-002	7.40000E-003	5.10500E-010	2.52660E-009	7.20366E+002	7.35238E+002	1.48725E+001	9.93600E-007	4.04120E+000	3.33800E-002	6.33400E-001	6.11600E-010	4.76700E-010
400	14	18	1	1.36000E-002	1.11000E-002	7.40000E-003	1.07950E-009	2.60380E-009	7.23922E+002	7.35294E+002	1.13718E+001	9.89700E-007	4.03990E+000	3.35932E-002	6.33300E-001	5.12300E-010	8.20000E-012
404	12	18	1	1.36000E-002	1.11000E-002	7.40000E-003	5.36200E-010	2.05120E-009	7.21743E+002	7.36487E+002	1.47445E+001	9.71700E-007	4.05860E+000	3.39700E-002	6.33300E-001	4.88900E-010	6.40700E-010
408	10	18	1	1.36000E-002	1.11000E-002	7.40000E-003	8.71100E-010	2.32750E-009	7.16026E+002	7.33571E+002	1.75450E+001	1.02850E-006	4.12390E+000	3.43205E-002	6.34100E-001	6.35500E-010	3.29200E-010
412	8	18	1	1.36000E-002	1.10000E-002	7.40000E-003	1.02090E-009	2.24560E-009	7.38790E+002	7.43443E+002	4.65310E+000	8.33800E-007	4.19260E+000	3.37400E-002	6.33900E-001	5.81900E-010	2.90400E-010
416	6	18	1	1.35000E-002	1.11000E-002	7.40000E-003	8.54700E-010	2.51950E-009	7.31842E+002	7.40879E+002	9.03690E+000	9.10600E-007	4.17970E+000	3.34623E-002	6.34300E-001	4.73900E-010	5.60000E-012
420	7	20	1	1.36000E-002	1.08000E-002	7.20000E-003	3.11400E-010	3.35310E-009	7.27881E+002	7.33048E+002	5.16690E+000	9.08800E-007	4.15200E+000	3.34518E-002	6.34400E-001	8.80000E-011	1.26900E-010
423	9	20	1	1.36000E-002	1.11000E-002	7.40000E-003	1.45200E-010	2.63900E-009	7.43226E+002	7.45350E+002	2.12370E+000	8.02800E-007	4.13150E+000	3.34107E-002	6.33700E-001	2.23200E-010	1.08000E-011
427	11	20	1	1.35000E-002	1.11000E-002	7.40000E-003	7.79700E-010	2.37200E-009	7.31578E+002	7.42888E+002	1.13102E+001	9.42100E-007	4.08660E+000	3.41847E-002	6.33600E-001	6.11200E-010	4.50000E-011
431	13	20	1	1.36000E-002	1.11000E-002	7.40000E-003	1.52200E-010	2.81220E-009	7.19949E+002	7.36704E+002	1.67557E+001	1.05370E-006	4.05120E+000	3.41566E-002	6.33200E-001	5.95700E-010	8.94000E-011
435	15	20	1	1.35000E-002	1.11000E-002	7.40000E-003	6.27500E-010	2.34630E-009	7.28903E+002	7.38653E+002	9.74960E+000	9.34600E-007	4.00870E+000	3.36521E-002	6.33900E-001	4.11900E-010	1.44500E-010
439	17	20	1	1.36000E-002	1.11000E-002	7.40000E-003	4.16800E-010	2.27130E-009	7.27564E+002	7.37533E+002	9.96890E+000	9.72400E-007	3.98120E+000	3.35654E-002	6.33400E-001	3.75400E-010	4.38800E-010
443	19	20	1	1.35000E-002	1.12000E-002	7.40000E-003	4.51900E-010	1.90600E-009	7.24172E+002	7.37838E+002	1.36666E+001	9.99200E-007	4.01020E+000	3.35271E-002	6.33000E-001	4.74200E-010	4.80300E-010
