Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-200837@CP
Wafer number	20
Date	2025/02/13
Time	20:14:00

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
72	27	8	1	1.35000E-002	1.12000E-002	7.40000E-003	1.89700E-010	2.83800E-009	7.14998E+002	7.23341E+002	8.34330E+000	1.32100E-006	4.06600E+000	3.43349E-002	6.32000E-001	5.56600E-010	3.90600E-010
76	29	8	1	1.35000E-002	1.13000E-002	7.40000E-003	2.95000E-010	2.43290E-009	7.26866E+002	7.32748E+002	5.88110E+000	1.04060E-006	4.13040E+000	3.38351E-002	6.33000E-001	1.22000E-011	4.39000E-010
80	31	8	1	1.35000E-002	1.12000E-002	7.40000E-003	9.97500E-010	2.96210E-009	7.27050E+002	7.33181E+002	6.13130E+000	1.09040E-006	4.14240E+000	3.35815E-002	6.32600E-001	1.93600E-010	4.52200E-010
84	33	8	1	1.31000E-002	1.10000E-002	7.20000E-003	8.00800E-010	3.53580E-009	7.10714E+002	7.16026E+002	5.31240E+000	1.21700E-006	4.10460E+000	3.37471E-002	6.33300E-001	7.17700E-010	2.00900E-010
89	35	10	1	1.36000E-002	1.12000E-002	7.40000E-003	3.93400E-010	3.16810E-009	7.32602E+002	7.38102E+002	5.50030E+000	1.05740E-006	4.05090E+000	3.33372E-002	6.32400E-001	5.23800E-010	1.06100E-010
93	33	10	1	1.35000E-002	1.13000E-002	7.40000E-003	1.94400E-010	2.75130E-009	7.35999E+002	7.39755E+002	3.75640E+000	9.72200E-007	4.02960E+000	3.35849E-002	6.32700E-001	4.70000E-010	6.12800E-010
97	31	10	1	1.35000E-002	1.12000E-002	7.40000E-003	3.62900E-010	2.63190E-009	7.07631E+002	7.22167E+002	1.45362E+001	1.34900E-006	4.00180E+000	3.44324E-002	6.31900E-001	4.15400E-010	2.11000E-011
101	29	10	8	1.36000E-002	1.12000E-002	7.40000E-003	1.63900E-010	2.72320E-009	6.90913E+002	7.12763E+002	2.18497E+001	1.38273E-005
105	27	10	1	1.35000E-002	1.13000E-002	7.40000E-003	4.47200E-010	3.28990E-009	7.00375E+002	7.16345E+002	1.59700E+001	1.54370E-006	3.98190E+000	3.43366E-002	6.31700E-001	1.55900E-010	3.52900E-010
109	25	10	8	1.35000E-002	1.12000E-002	7.40000E-003	7.96100E-010	3.06280E-009	6.78192E+002	7.05377E+002	2.71847E+001	1.38263E-005
113	23	10	8	1.36000E-002	1.11000E-002	7.40000E-003	6.76700E-010	2.89420E-009	6.95019E+002	7.13271E+002	1.82519E+001	1.38272E-005
117	21	10	1	1.35000E-002	1.12000E-002	7.40000E-003	1.03030E-009	2.56400E-009	7.03540E+002	7.19225E+002	1.56849E+001	1.38210E-006	3.99700E+000	3.39153E-002	6.32400E-001	4.38300E-010	1.39100E-010
121	19	10	1	1.35000E-002	1.13000E-002	7.40000E-003	5.57300E-010	2.64830E-009	6.97443E+002	7.15550E+002	1.81072E+001	1.50400E-006	3.99550E+000	3.40516E-002	6.33000E-001	6.11200E-010	6.76700E-010
125	17	10	1	1.36000E-002	1.12000E-002	7.40000E-003	2.59900E-010	2.57100E-009	7.01670E+002	7.17381E+002	1.57110E+001	1.45480E-006	4.00940E+000	3.42390E-002	6.32500E-001	9.04500E-010	3.33000E-011
129	15	10	1	1.36000E-002	1.13000E-002	7.40000E-003	3.88700E-010	2.60620E-009	7.09751E+002	7.24665E+002	1.49141E+001	1.28940E-006	4.02400E+000	3.42445E-002	6.32400E-001	3.84300E-010	5.93400E-010
133	13	10	1	1.36000E-002	1.12000E-002	7.50000E-003	5.45600E-010	2.88480E-009	7.16758E+002	7.29045E+002	1.22872E+001	1.15490E-006	4.04040E+000	3.42431E-002	6.33100E-001	7.43200E-010	1.45000E-011
137	11	10	1	1.35000E-002	1.13000E-002	7.40000E-003	5.66700E-010	3.53340E-009	7.40323E+002	7.43453E+002	3.12960E+000	8.97400E-007	3.66670E+000	3.35063E-002	6.32500E-001	6.65700E-010	1.87300E-010
141	9	10	1	1.36000E-002	1.14000E-002	7.40000E-003	8.35900E-010	2.93870E-009	7.38947E+002	7.43452E+002	4.50500E+000	1.00530E-006	3.68830E+000	3.34661E-002	6.31300E-001	7.87500E-010	5.21900E-010
148	6	12	1	1.35000E-002	1.13000E-002	7.40000E-003	9.60000E-011	3.48890E-009	6.98844E+002	7.06493E+002	7.64880E+000	1.26990E-006	4.15710E+000	3.40722E-002	6.33300E-001	1.54300E-010	9.30000E-011
152	8	12	1	1.34000E-002	1.12000E-002	7.40000E-003	1.66300E-010	3.16810E-009	7.38742E+002	7.40397E+002	1.65420E+000	9.60400E-007	3.58640E+000	3.33064E-002	6.30900E-001	2.55000E-010	3.39800E-010
156	10	12	1	1.35000E-002	1.14000E-002	7.40000E-003	6.20500E-010	2.59450E-009	7.30177E+002	7.38455E+002	8.27780E+000	1.02440E-006	4.16840E+000	3.40207E-002	6.32700E-001	5.04600E-010	6.11600E-010
160	12	12	1	1.35000E-002	1.11000E-002	7.40000E-003	1.26400E-010	2.94340E-009	7.16795E+002	7.28557E+002	1.17624E+001	1.23180E-006	4.01910E+000	3.39801E-002	6.32500E-001	7.54000E-011	1.01900E-010
164	14	12	1	1.35000E-002	1.11000E-002	7.40000E-003	4.66000E-010	2.60380E-009	7.10857E+002	7.22830E+002	1.19729E+001	1.34410E-006	3.95020E+000	3.39140E-002	6.32500E-001	7.08300E-010	4.14500E-010
168	16	12	1	1.35000E-002	1.11000E-002	7.40000E-003	4.35500E-010	2.15890E-009	7.06509E+002	7.23404E+002	1.68950E+001	1.38070E-006	3.97250E+000	3.37933E-002	6.32200E-001	8.62900E-010	3.56200E-010
172	18	12	1	1.35000E-002	1.12000E-002	7.40000E-003	5.94800E-010	2.46330E-009	7.11625E+002	7.24318E+002	1.26927E+001	1.31920E-006	3.97850E+000	3.36478E-002	6.32300E-001	5.89100E-010	1.51300E-010
176	20	12	1	1.36000E-002	1.12000E-002	7.40000E-003	8.43000E-011	2.38840E-009	7.11121E+002	7.24259E+002	1.31385E+001	1.31430E-006	3.95280E+000	3.34423E-002	6.31600E-001	8.87900E-010	2.36700E-010
180	22	12	1	1.36000E-002	1.12000E-002	7.50000E-003	4.80000E-010	1.84520E-009	7.09517E+002	7.24846E+002	1.53287E+001	1.31470E-006	3.99760E+000	3.33708E-002	6.31600E-001	3.57300E-010	7.55600E-010
184	24	12	1	1.36000E-002	1.12000E-002	7.50000E-003	3.79300E-010	2.72090E-009	7.17758E+002	7.28964E+002	1.12059E+001	1.21700E-006	3.97570E+000	3.33594E-002	6.31600E-001	1.69300E-010	3.47500E-010
188	26	12	1	1.35000E-002	1.12000E-002	7.40000E-003	2.58000E-011	2.45160E-009	7.11040E+002	7.23906E+002	1.28662E+001	1.26790E-006	3.92530E+000	3.35768E-002	6.32500E-001	2.82200E-010	2.47300E-010
192	28	12	1	1.35000E-002	1.13000E-002	7.40000E-003	2.81000E-011	2.84500E-009	7.08316E+002	7.23574E+002	1.52579E+001	1.36130E-006	3.96810E+000	3.38208E-002	6.32000E-001	2.56200E-010	2.57600E-010
196	30	12	1	1.35000E-002	1.11000E-002	7.40000E-003	7.82100E-010	3.02300E-009	7.18010E+002	7.28191E+002	1.01813E+001	1.27990E-006	3.98730E+000	3.39199E-002	6.31800E-001	3.22200E-010	4.92000E-011
200	32	12	1	1.36000E-002	1.12000E-002	7.40000E-003	4.05100E-010	2.82390E-009	7.11574E+002	7.24541E+002	1.29664E+001	1.32040E-006	3.95880E+000	3.39956E-002	6.31900E-001	2.45900E-010	2.22200E-010
204	34	12	1	1.35000E-002	1.12000E-002	7.40000E-003	7.65700E-010	2.32280E-009	7.27800E+002	7.36819E+002	9.01890E+000	1.00800E-006	4.03330E+000	3.39162E-002	6.32900E-001	6.63600E-010	4.81400E-010
208	36	12	1	1.35000E-002	1.12000E-002	7.40000E-003	4.87000E-010	2.41650E-009	7.39349E+002	7.41034E+002	1.68530E+000	9.45800E-007	4.06290E+000	3.31041E-002	6.32700E-001	7.97300E-010	3.00000E-012
212	38	12	1	1.34000E-002	1.07000E-002	7.00000E-003	1.24570E-009	2.75130E-009	7.08393E+002	7.13928E+002	5.53500E+000	1.14330E-006	4.04590E+000	3.36958E-002	6.33300E-001	2.71900E-010	1.77000E-010
214	39	14	1	1.35000E-002	1.07000E-002	7.00000E-003	5.43200E-010	3.54510E-009	7.03629E+002	7.09084E+002	5.45510E+000	1.15250E-006	4.07320E+000	3.38611E-002	6.33300E-001	7.75100E-010	4.30400E-010
216	37	14	1	1.36000E-002	1.11000E-002	7.40000E-003	3.44200E-010	2.43990E-009	7.39904E+002	7.41560E+002	1.65530E+000	9.33800E-007	4.08160E+000	3.32247E-002	6.32700E-001	9.20000E-011	3.71400E-010
220	35	14	1	1.35000E-002	1.12000E-002	7.40000E-003	6.43900E-010	3.04640E-009	7.25426E+002	7.34730E+002	9.30350E+000	1.07020E-006	4.00540E+000	3.41827E-002	6.31900E-001	6.34800E-010	1.01600E-010
224	33	14	1	1.35000E-002	1.13000E-002	7.40000E-003	3.44200E-010	2.96210E-009	7.20631E+002	7.30200E+002	9.56880E+000	1.21640E-006	4.01780E+000	3.41830E-002	6.31700E-001	7.12800E-010	2.99300E-010
228	31	14	1	1.36000E-002	1.11000E-002	7.40000E-003	7.16500E-010	2.76070E-009	7.06810E+002	7.21541E+002	1.47309E+001	1.32330E-006	4.00180E+000	3.38026E-002	6.32700E-001	6.68300E-010	2.60600E-010
232	29	14	1	1.35000E-002	1.12000E-002	7.40000E-003	1.61600E-010	2.32280E-009	7.14027E+002	7.27578E+002	1.35506E+001	1.27550E-006	3.93630E+000	3.36020E-002	6.31700E-001	3.14700E-010	6.88000E-011
236	27	14	1	1.36000E-002	1.12000E-002	7.40000E-003	9.60000E-011	2.62720E-009	7.16271E+002	7.31168E+002	1.48965E+001	1.17910E-006	3.98370E+000	3.32605E-002	6.32000E-001	3.27600E-010	4.78100E-010
240	25	14	1	1.35000E-002	1.12000E-002	7.40000E-003	9.13000E-011	1.96930E-009	7.09199E+002	7.24933E+002	1.57345E+001	1.27860E-006	4.00340E+000	3.31245E-002	6.31500E-001	2.91800E-010	7.00000E-011
244	23	14	1	1.35000E-002	1.12000E-002	7.40000E-003	1.89700E-010	2.46800E-009	7.09457E+002	7.21010E+002	1.15527E+001	1.23520E-006	4.00170E+000	3.29369E-002	6.31800E-001	1.28300E-010	4.61000E-011
248	21	14	1	1.36000E-002	1.13000E-002	7.40000E-003	4.58900E-010	2.66940E-009	7.12340E+002	7.23748E+002	1.14087E+001	1.25980E-006	4.05180E+000	3.30504E-002	6.31300E-001	2.76100E-010	1.88700E-010
252	19	14	1	1.35000E-002	1.12000E-002	7.40000E-003	1.03000E-010	2.42590E-009	7.07553E+002	7.21865E+002	1.43119E+001	1.32860E-006	4.03950E+000	3.31279E-002	6.31400E-001	1.01340E-009	9.69000E-011
256	17	14	1	1.35000E-002	1.13000E-002	7.40000E-003	5.55000E-010	2.44460E-009	7.09928E+002	7.26458E+002	1.65293E+001	1.28160E-006	3.96420E+000	3.34718E-002	6.31800E-001	4.67400E-010	3.51900E-010
260	15	14	1	1.35000E-002	1.14000E-002	7.50000E-003	5.69000E-010	2.94100E-009	7.17548E+002	7.30277E+002	1.27284E+001	1.26440E-006	3.98860E+000	3.37028E-002	6.31700E-001	4.76000E-010	4.41600E-010
264	13	14	1	1.36000E-002	1.13000E-002	7.50000E-003	5.52600E-010	2.30410E-009	7.05213E+002	7.21117E+002	1.59042E+001	1.38660E-006	3.99730E+000	3.38997E-002	6.32400E-001	3.33700E-010	3.35800E-010
268	11	14	1	1.35000E-002	1.13000E-002	7.40000E-003	5.71300E-010	3.62480E-009	7.10791E+002	7.22181E+002	1.13891E+001	1.32440E-006	3.96860E+000	3.44325E-002	6.31800E-001	2.59000E-010	5.47000E-010
272	9	14	1	1.35000E-002	1.14000E-002	7.50000E-003	2.64600E-010	3.50770E-009	7.23147E+002	7.34369E+002	1.12221E+001	1.10300E-006	4.05840E+000	3.43761E-002	6.32200E-001	2.03000E-010	2.37700E-010
276	7	14	1	1.35000E-002	1.13000E-002	7.50000E-003	8.31300E-010	3.68560E-009	7.36519E+002	7.39135E+002	2.61640E+000	9.64400E-007	4.06970E+000	3.35932E-002	6.32900E-001	9.38300E-010	2.34600E-010
280	5	14	8	1.35000E-002	1.13000E-002	7.40000E-003	3.65300E-010	3.83320E-009	6.70473E+002	6.82544E+002	1.20714E+001	1.38271E-005
284	5	16	4	1.36000E-002	1.11000E-002	7.40000E-003	7.98500E-010	2.47914E-007
288	7	16	1	1.35000E-002	1.12000E-002	7.40000E-003	6.43900E-010	3.44680E-009	7.34771E+002	7.38184E+002	3.41380E+000	9.90300E-007	3.92710E+000	3.37964E-002	6.32300E-001	4.88500E-010	4.70900E-010
292	9	16	1	1.36000E-002	1.12000E-002	7.40000E-003	3.11400E-010	3.23140E-009	7.04402E+002	7.22867E+002	1.84646E+001	1.25730E-006	4.05520E+000	3.44880E-002	6.32200E-001	6.01500E-010	1.64800E-010
296	11	16	1	1.35000E-002	1.12000E-002	7.50000E-003	6.55600E-010	2.57100E-009	6.98166E+002	7.15244E+002	1.70783E+001	1.54010E-006	4.01920E+000	3.43713E-002	6.31700E-001	9.95200E-010	1.78200E-010
300	13	16	1	1.35000E-002	1.12000E-002	7.40000E-003	4.68300E-010	2.36500E-009	7.01744E+002	7.18834E+002	1.70902E+001	1.43270E-006	3.99430E+000	3.38977E-002	6.32300E-001	8.54000E-010	3.78900E-010
304	15	16	1	1.35000E-002	1.12000E-002	7.40000E-003	5.64300E-010	2.18470E-009	7.17600E+002	7.31743E+002	1.41426E+001	1.17160E-006	4.00450E+000	3.33855E-002	6.32200E-001	9.81100E-010	4.73700E-010
308	17	16	1	1.36000E-002	1.12000E-002	7.50000E-003	3.46600E-010	2.90350E-009	7.13920E+002	7.25662E+002	1.17422E+001	1.24540E-006	4.06310E+000	3.30836E-002	6.31500E-001	9.79000E-011	4.42800E-010
312	19	16	1	1.35000E-002	1.11000E-002	7.50000E-003	2.03700E-010	2.87080E-009	7.05834E+002	7.23198E+002	1.73644E+001	1.26170E-006	4.05940E+000	3.30458E-002	6.32100E-001	6.00100E-010	7.41800E-010
316	21	16	1	1.35000E-002	1.13000E-002	7.40000E-003	5.12800E-010	2.38140E-009	7.00823E+002	7.12519E+002	1.16961E+001	1.34230E-006	4.08800E+000	3.28543E-002	6.30800E-001	6.60600E-010	3.72800E-010
320	23	16	1	1.35000E-002	1.13000E-002	7.40000E-003	2.57600E-010	2.87540E-009	6.99416E+002	7.10924E+002	1.15083E+001	1.37300E-006	4.09200E+000	3.28636E-002	6.31000E-001	4.33000E-011	2.78900E-010
324	25	16	1	1.35000E-002	1.13000E-002	7.40000E-003	7.75100E-010	2.48910E-009	7.08518E+002	7.25545E+002	1.70271E+001	1.19460E-006	4.06510E+000	3.29035E-002	6.32400E-001	5.02300E-010	2.68600E-010
328	27	16	1	1.36000E-002	1.12000E-002	7.40000E-003	6.43900E-010	2.10040E-009	7.22206E+002	7.32442E+002	1.02359E+001	1.09530E-006	4.00730E+000	3.28123E-002	6.31900E-001	5.59600E-010	2.34000E-011
332	29	16	1	1.35000E-002	1.13000E-002	7.40000E-003	3.98100E-010	2.53360E-009	7.21258E+002	7.34993E+002	1.37348E+001	1.10670E-006	3.98890E+000	3.33536E-002	6.32100E-001	1.24100E-010	3.46300E-010
336	31	16	1	1.35000E-002	1.12000E-002	7.40000E-003	3.39500E-010	1.40490E-009	7.16836E+002	7.30124E+002	1.32885E+001	1.20990E-006	3.99720E+000	3.37710E-002	6.32100E-001	7.52000E-011	4.77700E-010
340	33	16	1	1.34000E-002	1.12000E-002	7.40000E-003	5.45600E-010	2.70690E-009	7.26125E+002	7.34063E+002	7.93780E+000	1.16020E-006	4.01210E+000	3.41179E-002	6.31700E-001	2.20300E-010	6.12300E-010
344	35	16	1	1.35000E-002	1.13000E-002	7.40000E-003	4.92000E-011	2.73030E-009	7.24688E+002	7.34089E+002	9.40150E+000	1.05820E-006	4.11640E+000	3.42950E-002	6.32400E-001	7.39500E-010	1.65300E-010
348	37	16	1	1.36000E-002	1.13000E-002	7.40000E-003	1.00220E-009	3.04870E-009	7.39300E+002	7.40994E+002	1.69450E+000	9.35200E-007	4.06600E+000	3.33801E-002	6.32600E-001	4.73500E-010	2.74700E-010
352	39	16	1	1.34000E-002	1.08000E-002	7.00000E-003	5.08100E-010	3.70440E-009	7.25328E+002	7.27760E+002	2.43190E+000	1.03660E-006	4.12740E+000	3.35224E-002	6.33400E-001	7.81900E-010	3.50800E-010
354	38	18	1	1.34000E-002	1.08000E-002	6.90000E-003	4.98800E-010	3.10260E-009	7.35832E+002	7.39992E+002	4.15940E+000	9.69900E-007	4.15260E+000	3.30614E-002	6.33400E-001	4.50500E-010	4.61000E-011
356	36	18	5	1.35000E-002	1.12000E-002	7.40000E-003	4.37900E-010	2.69510E-009	6.43562E+002
360	34	18	1	1.36000E-002	1.12000E-002	7.40000E-003	5.19800E-010	2.60150E-009	7.19890E+002	7.30875E+002	1.09855E+001	1.10720E-006	4.06000E+000	3.42764E-002	6.33000E-001	1.09070E-009	6.92600E-010
364	32	18	1	1.35000E-002	1.12000E-002	7.40000E-003	9.13200E-010	2.94800E-009	7.19599E+002	7.30084E+002	1.04847E+001	1.15210E-006	4.03400E+000	3.39585E-002	6.31900E-001	8.28900E-010	5.19800E-010
368	30	18	1	1.36000E-002	1.12000E-002	7.40000E-003	8.43000E-010	2.27600E-009	7.27511E+002	7.35371E+002	7.85970E+000	1.05460E-006	4.00610E+000	3.34851E-002	6.32300E-001	3.84000E-010	8.90000E-012
372	28	18	1	1.35000E-002	1.12000E-002	7.40000E-003	6.29900E-010	2.38840E-009	7.20726E+002	7.35493E+002	1.47678E+001	1.04970E-006	4.00890E+000	3.33450E-002	6.32800E-001	6.96400E-010	4.21000E-011
376	26	18	1	1.35000E-002	1.12000E-002	7.40000E-003	6.15800E-010	2.61550E-009	7.22515E+002	7.31663E+002	9.14820E+000	1.09990E-006	4.06020E+000	3.29751E-002	6.31800E-001	6.03400E-010	4.45100E-010
380	24	18	1	1.36000E-002	1.12000E-002	7.40000E-003	2.13100E-010	2.57570E-009	7.20035E+002	7.30864E+002	1.08288E+001	1.12800E-006	4.07640E+000	3.28747E-002	6.31800E-001	3.31600E-010	8.27000E-011
384	22	18	1	1.35000E-002	1.12000E-002	7.40000E-003	7.65700E-010	2.23620E-009	7.10884E+002	7.28295E+002	1.74105E+001	1.20600E-006	4.08790E+000	3.30580E-002	6.31600E-001	1.42800E-010	1.85200E-010
388	20	18	1	1.36000E-002	1.11000E-002	7.40000E-003	2.88000E-010	3.24540E-009	7.14758E+002	7.26819E+002	1.20608E+001	1.20310E-006	4.10250E+000	3.29462E-002	6.31600E-001	6.04000E-011	2.86400E-010
392	18	18	1	1.35000E-002	1.11000E-002	7.40000E-003	5.71300E-010	2.81220E-009	7.18431E+002	7.28919E+002	1.04882E+001	1.15360E-006	4.07780E+000	3.30831E-002	6.31800E-001	2.50300E-010	2.71200E-010
396	16	18	1	1.35000E-002	1.12000E-002	7.40000E-003	5.17500E-010	2.58740E-009	7.10577E+002	7.27394E+002	1.68164E+001	1.22770E-006	4.05560E+000	3.35416E-002	6.32400E-001	5.40900E-010	3.18000E-010
400	14	18	1	1.36000E-002	1.11000E-002	7.50000E-003	7.54000E-010	2.83100E-009	7.06194E+002	7.22049E+002	1.58556E+001	1.30400E-006	4.02180E+000	3.38539E-002	6.32300E-001	6.05100E-010	2.83600E-010
404	12	18	1	1.35000E-002	1.11000E-002	7.40000E-003	8.73400E-010	3.15410E-009	7.02629E+002	7.20014E+002	1.73843E+001	1.31860E-006	4.00780E+000	3.41344E-002	6.32400E-001	8.26300E-010	3.89000E-011
408	10	18	8	1.36000E-002	1.12000E-002	7.40000E-003	7.04800E-010	2.83800E-009	6.98189E+002	7.17949E+002	1.97594E+001	1.38276E-005
412	8	18	1	1.35000E-002	1.11000E-002	7.40000E-003	1.10050E-009	2.49140E-009	7.35334E+002	7.39600E+002	4.26530E+000	9.79600E-007	3.86670E+000	3.38521E-002	6.32200E-001	4.23100E-010	1.76000E-011
416	6	18	1	1.35000E-002	1.11000E-002	7.40000E-003	4.68300E-010	3.46320E-009	7.30063E+002	7.35336E+002	5.27330E+000	1.04560E-006	4.20740E+000	3.36463E-002	6.33500E-001	1.25700E-010	6.30000E-011
420	7	20	1	1.35000E-002	1.08000E-002	7.20000E-003	9.24900E-010	1.16306E-008	7.19850E+002	7.23936E+002	4.08530E+000	1.10820E-006	4.21910E+000	3.38172E-002	6.33800E-001	2.77000E-010	1.57800E-010
423	9	20	1	1.36000E-002	1.11000E-002	7.50000E-003	3.27800E-010	2.98780E-009	7.35109E+002	7.41047E+002	5.93830E+000	9.77300E-007	4.28080E+000	3.36811E-002	6.33000E-001	1.00800E-009	4.08100E-010
427	11	20	1	1.35000E-002	1.11000E-002	7.40000E-003	5.47900E-010	3.16580E-009	7.10638E+002	7.24474E+002	1.38361E+001	1.35290E-006	4.11300E+000	3.44782E-002	6.32500E-001	1.04290E-009	4.51200E-010
431	13	20	1	1.35000E-002	1.11000E-002	7.40000E-003	7.23500E-010	3.30860E-009	6.87600E+002	7.12913E+002	2.53131E+001	1.56370E-006	3.98900E+000	3.45238E-002	6.31900E-001	4.10900E-010	4.03000E-011
435	15	20	1	1.35000E-002	1.11000E-002	7.40000E-003	1.66300E-010	2.83560E-009	7.10781E+002	7.23385E+002	1.26037E+001	1.26320E-006	3.97090E+000	3.39673E-002	6.32500E-001	6.62700E-010	5.58500E-010
439	17	20	1	1.35000E-002	1.11000E-002	7.40000E-003	5.17500E-010	2.40010E-009	7.11254E+002	7.23172E+002	1.19183E+001	1.29410E-006	3.96120E+000	3.38859E-002	6.32000E-001	4.92000E-011	5.00400E-010
443	19	20	1	1.36000E-002	1.11000E-002	7.40000E-003	5.83100E-010	2.35330E-009	7.12022E+002	7.27836E+002	1.58132E+001	1.28250E-006	4.01190E+000	3.37967E-002	6.31900E-001	1.55700E-010	1.07500E-010
447	21	20	1	1.35000E-002	1.12000E-002	7.40000E-003	7.82100E-010	2.79580E-009	7.24342E+002	7.35130E+002	1.07873E+001	1.06920E-006	3.99650E+000	3.33170E-002	6.32500E-001	4.82000E-011	2.02800E-010
451	23	20	1	1.36000E-002	1.12000E-002	7.40000E-003	5.99400E-010	2.82630E-009	7.21730E+002	7.34466E+002	1.27353E+001	1.09010E-006	3.99420E+000	3.32917E-002	6.32500E-001	4.60100E-010	5.05800E-010
455	25	20	1	1.35000E-002	1.11000E-002	7.50000E-003	9.62400E-010	2.99250E-009	7.19519E+002	7.32739E+002	1.32202E+001	1.15370E-006	3.97760E+000	3.35015E-002	6.31800E-001	5.35300E-010	6.61500E-010
459	27	20	1	1.36000E-002	1.11000E-002	7.40000E-003	3.81700E-010	3.04640E-009	7.27594E+002	7.35230E+002	7.63630E+000	1.08030E-006	3.93960E+000	3.36538E-002	6.32000E-001	2.01600E-010	2.49400E-010
