Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	11
Date	2025/03/03
Time	01:32:19

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
11	53	11	1	0.000E+00	0.000E+00	3.920E-07	7.580E-07	7.558E+02	7.620E+02	6.200E+00	6.800E-09	3.337E+00	3.118E-01	7.640E-01	6.770E-08	9.510E-08	3.100E-09	
12	59	11	1	0.000E+00	1.000E-08	4.280E-07	7.390E-07	7.602E+02	7.647E+02	4.500E+00	6.800E-09	3.327E+00	3.115E-01	7.640E-01	7.260E-08	9.190E-08	5.100E-09	
13	65	11	1	0.000E+00	0.000E+00	4.270E-07	5.090E-07	7.614E+02	7.655E+02	4.100E+00	6.700E-09	3.322E+00	3.132E-01	7.650E-01	8.210E-08	6.670E-08	3.100E-09	
14	71	11	1	0.000E+00	0.000E+00	3.670E-07	7.680E-07	7.315E+02	7.399E+02	8.400E+00	6.400E-09	3.356E+00	3.156E-01	7.650E-01	6.490E-08	8.810E-08	2.300E-09	
15	47	13	1	0.000E+00	0.000E+00	4.030E-07	4.770E-07	7.395E+02	7.477E+02	8.200E+00	6.800E-09	3.346E+00	3.123E-01	7.640E-01	6.670E-08	5.450E-08	2.400E-09	
16	47	15	1	0.000E+00	0.000E+00	4.470E-07	4.650E-07	7.350E+02	7.430E+02	8.000E+00	6.900E-09	3.335E+00	3.106E-01	7.640E-01	7.860E-08	5.490E-08	5.500E-09	
17	17	17	1	0.000E+00	0.000E+00	4.240E-07	5.240E-07	7.537E+02	7.603E+02	6.600E+00	6.500E-09	3.457E+00	3.141E-01	7.640E-01	7.270E-08	5.980E-08	2.200E-09	
18	23	17	1	0.000E+00	0.000E+00	4.030E-07	4.800E-07	7.559E+02	7.624E+02	6.500E+00	6.600E-09	3.390E+00	3.110E-01	7.630E-01	6.720E-08	5.750E-08	2.300E-09	
19	29	17	1	0.000E+00	0.000E+00	3.900E-07	4.810E-07	7.434E+02	7.505E+02	7.100E+00	6.700E-09	3.380E+00	3.110E-01	7.630E-01	6.550E-08	6.200E-08	2.200E-09	
20	35	17	1	0.000E+00	1.000E-08	3.710E-07	4.740E-07	7.359E+02	7.443E+02	8.400E+00	6.900E-09	3.340E+00	3.106E-01	7.630E-01	6.530E-08	5.510E-08	2.500E-09	
21	41	17	1	0.000E+00	0.000E+00	5.490E-07	4.650E-07	7.321E+02	7.417E+02	9.600E+00	6.800E-09	3.351E+00	3.099E-01	7.640E-01	8.720E-08	5.520E-08	2.500E-09	
22	47	17	1	0.000E+00	1.000E-08	3.880E-07	4.800E-07	7.297E+02	7.378E+02	8.100E+00	7.000E-09	3.323E+00	3.102E-01	7.620E-01	6.700E-08	5.670E-08	2.500E-09	
23	53	17	1	0.000E+00	0.000E+00	4.650E-07	5.670E-07	7.374E+02	7.460E+02	8.600E+00	7.000E-09	3.288E+00	3.100E-01	7.620E-01	7.300E-08	8.590E-08	2.800E-09	
24	59	17	1	0.000E+00	1.000E-08	3.940E-07	8.720E-07	7.363E+02	7.430E+02	6.700E+00	6.800E-09	3.284E+00	3.098E-01	7.620E-01	6.710E-08	1.009E-07	2.500E-09	
25	65	17	1	0.000E+00	1.000E-08	4.920E-07	5.890E-07	7.466E+02	7.537E+02	7.100E+00	7.000E-09	3.273E+00	3.097E-01	7.630E-01	7.920E-08	7.250E-08	2.900E-09	
26	71	17	1	0.000E+00	0.000E+00	4.090E-07	4.640E-07	7.512E+02	7.574E+02	6.200E+00	6.700E-09	3.268E+00	3.098E-01	7.620E-01	6.810E-08	5.470E-08	2.500E-09	
27	77	17	1	0.000E+00	0.000E+00	4.850E-07	4.750E-07	7.537E+02	7.602E+02	6.500E+00	6.600E-09	3.289E+00	3.119E-01	7.630E-01	8.640E-08	5.490E-08	2.700E-09	
28	47	19	1	0.000E+00	0.000E+00	6.200E-07	5.610E-07	7.258E+02	7.335E+02	7.700E+00	7.000E-09	3.308E+00	3.091E-01	7.620E-01	1.160E-07	7.390E-08	3.400E-09	
29	47	21	1	0.000E+00	0.000E+00	4.030E-07	9.790E-07	7.291E+02	7.360E+02	6.900E+00	7.100E-09	3.337E+00	3.072E-01	7.640E-01	6.890E-08	1.295E-07	2.500E-09	
30	11	23	1	0.000E+00	0.000E+00	3.790E-07	4.550E-07	7.616E+02	7.665E+02	4.900E+00	6.700E-09	3.490E+00	3.094E-01	7.650E-01	6.330E-08	5.080E-08	2.300E-09	
31	17	23	1	0.000E+00	0.000E+00	3.830E-07	6.090E-07	7.542E+02	7.601E+02	5.900E+00	6.700E-09	3.428E+00	3.082E-01	7.640E-01	6.500E-08	8.740E-08	2.400E-09	
32	23	23	1	0.000E+00	0.000E+00	4.080E-07	5.240E-07	7.358E+02	7.440E+02	8.200E+00	6.800E-09	3.405E+00	3.080E-01	7.630E-01	7.130E-08	6.240E-08	2.500E-09	
33	29	23	1	0.000E+00	1.000E-08	4.070E-07	4.850E-07	7.268E+02	7.348E+02	8.000E+00	6.800E-09	3.385E+00	3.075E-01	7.630E-01	7.050E-08	5.890E-08	2.400E-09	
34	35	23	1	0.000E+00	0.000E+00	3.930E-07	4.870E-07	7.254E+02	7.340E+02	8.600E+00	7.200E-09	3.377E+00	3.067E-01	7.630E-01	6.710E-08	6.280E-08	2.500E-09	
35	41	23	1	0.000E+00	1.000E-08	4.060E-07	5.530E-07	7.267E+02	7.344E+02	7.700E+00	7.100E-09	3.359E+00	3.067E-01	7.630E-01	6.970E-08	6.770E-08	2.500E-09	
36	47	23	1	0.000E+00	0.000E+00	8.540E-07	4.890E-07	7.268E+02	7.341E+02	7.300E+00	7.200E-09	3.335E+00	3.059E-01	7.620E-01	1.137E-07	5.940E-08	2.500E-09	
37	53	23	1	0.000E+00	0.000E+00	3.930E-07	4.860E-07	7.301E+02	7.380E+02	7.900E+00	7.100E-09	3.311E+00	3.066E-01	7.630E-01	6.810E-08	6.020E-08	2.800E-09	
38	59	23	1	0.000E+00	0.000E+00	4.000E-07	5.490E-07	7.311E+02	7.373E+02	6.200E+00	6.900E-09	3.294E+00	3.058E-01	7.630E-01	6.850E-08	6.980E-08	6.500E-09	
39	65	23	1	0.000E+00	0.000E+00	4.310E-07	5.730E-07	7.318E+02	7.393E+02	7.500E+00	6.900E-09	3.284E+00	3.071E-01	7.630E-01	7.130E-08	6.390E-08	2.500E-09	
40	71	23	1	0.000E+00	0.000E+00	5.820E-07	8.250E-07	7.420E+02	7.480E+02	6.000E+00	7.000E-09	3.257E+00	3.059E-01	7.630E-01	9.290E-08	1.014E-07	2.800E-09	
41	77	23	1	0.000E+00	0.000E+00	4.490E-07	6.790E-07	7.545E+02	7.594E+02	4.900E+00	6.800E-09	3.262E+00	3.067E-01	7.640E-01	7.360E-08	8.000E-08	2.800E-09	
42	83	23	1	0.000E+00	0.000E+00	3.980E-07	4.460E-07	7.638E+02	7.675E+02	3.700E+00	6.700E-09	3.272E+00	3.066E-01	7.640E-01	6.910E-08	5.300E-08	2.500E-09	
43	47	25	1	0.000E+00	0.000E+00	4.870E-07	6.750E-07	7.301E+02	7.369E+02	6.800E+00	7.000E-09	3.330E+00	3.049E-01	7.630E-01	8.290E-08	8.660E-08	2.700E-09	
44	47	27	1	0.000E+00	0.000E+00	4.230E-07	5.660E-07	7.314E+02	7.376E+02	6.200E+00	7.200E-09	3.308E+00	3.046E-01	7.620E-01	7.200E-08	6.800E-08	2.900E-09	
45	5	29	1	0.000E+00	0.000E+00	4.600E-07	4.540E-07	7.488E+02	7.516E+02	2.800E+00	6.500E-09	3.500E+00	3.043E-01	7.650E-01	7.230E-08	5.310E-08	2.300E-09	
46	11	29	1	0.000E+00	0.000E+00	3.790E-07	4.310E-07	7.702E+02	7.722E+02	2.000E+00	6.600E-09	3.409E+00	3.056E-01	7.630E-01	6.270E-08	4.940E-08	2.700E-09	
47	17	29	1	0.000E+00	0.000E+00	3.960E-07	5.000E-07	7.476E+02	7.541E+02	6.500E+00	6.900E-09	3.391E+00	3.058E-01	7.620E-01	6.810E-08	5.710E-08	2.500E-09	
48	23	29	1	0.000E+00	0.000E+00	3.750E-07	5.340E-07	7.346E+02	7.416E+02	7.000E+00	7.000E-09	3.363E+00	3.055E-01	7.620E-01	6.560E-08	6.100E-08	2.500E-09	
49	29	29	1	0.000E+00	0.000E+00	6.120E-07	5.100E-07	7.255E+02	7.332E+02	7.700E+00	7.200E-09	3.358E+00	3.062E-01	7.630E-01	9.810E-08	5.950E-08	2.600E-09	
50	35	29	1	0.000E+00	0.000E+00	4.210E-07	5.090E-07	7.294E+02	7.366E+02	7.200E+00	6.800E-09	3.338E+00	3.047E-01	7.630E-01	6.970E-08	6.220E-08	2.900E-09	
51	41	29	1	0.000E+00	0.000E+00	4.430E-07	4.730E-07	7.325E+02	7.396E+02	7.100E+00	7.100E-09	3.324E+00	3.048E-01	7.620E-01	7.240E-08	5.800E-08	2.600E-09	
52	47	29	1	0.000E+00	1.000E-08	5.970E-07	5.430E-07	7.363E+02	7.400E+02	3.700E+00	7.400E-09	3.298E+00	3.034E-01	7.630E-01	9.380E-08	7.150E-08	3.100E-09	
53	53	29	1	0.000E+00	0.000E+00	6.340E-07	4.770E-07	7.384E+02	7.411E+02	2.700E+00	7.300E-09	3.258E+00	3.033E-01	7.620E-01	9.900E-08	5.980E-08	3.100E-09	
54	59	29	1	0.000E+00	0.000E+00	3.960E-07	4.840E-07	7.330E+02	7.381E+02	5.100E+00	7.000E-09	3.271E+00	3.049E-01	7.620E-01	6.750E-08	5.950E-08	3.100E-09	
55	65	29	1	0.000E+00	1.000E-08	5.410E-07	6.420E-07	7.368E+02	7.426E+02	5.800E+00	6.900E-09	3.245E+00	3.039E-01	7.620E-01	8.920E-08	8.090E-08	3.000E-09	
56	71	29	1	0.000E+00	0.000E+00	4.070E-07	7.680E-07	7.375E+02	7.434E+02	5.900E+00	6.900E-09	3.257E+00	3.045E-01	7.620E-01	6.960E-08	1.036E-07	2.700E-09	
57	77	29	1	0.000E+00	0.000E+00	3.780E-07	4.730E-07	7.518E+02	7.565E+02	4.700E+00	6.900E-09	3.240E+00	3.049E-01	7.620E-01	6.720E-08	5.560E-08	2.900E-09	
58	83	29	1	0.000E+00	0.000E+00	4.330E-07	4.550E-07	7.653E+02	7.678E+02	2.500E+00	6.800E-09	3.272E+00	3.049E-01	7.620E-01	7.540E-08	5.210E-08	2.700E-09	
59	89	29	1	0.000E+00	0.000E+00	8.190E-07	5.950E-07	7.411E+02	7.445E+02	3.400E+00	6.600E-09	3.350E+00	3.055E-01	7.650E-01	1.155E-07	6.810E-08	2.700E-09	
60	47	31	1	0.000E+00	1.000E-08	4.360E-07	5.070E-07	7.378E+02	7.392E+02	1.400E+00	7.600E-09	3.317E+00	3.012E-01	7.630E-01	7.570E-08	6.400E-08	3.200E-09	
61	47	33	1	0.000E+00	0.000E+00	8.390E-07	6.860E-07	7.380E+02	7.395E+02	1.500E+00	7.700E-09	3.308E+00	3.009E-01	7.630E-01	1.614E-07	9.150E-08	4.900E-09	
62	5	35	1	0.000E+00	0.000E+00	6.030E-07	4.620E-07	7.568E+02	7.601E+02	3.300E+00	6.500E-09	3.513E+00	3.053E-01	7.650E-01	9.570E-08	5.360E-08	2.600E-09	
63	7	35	1	0.000E+00	0.000E+00	5.940E-07	5.380E-07	7.692E+02	7.731E+02	3.900E+00	6.700E-09	3.493E+00	3.060E-01	7.650E-01	9.340E-08	5.850E-08	2.500E-09	
64	9	35	1	0.000E+00	1.000E-08	9.470E-07	7.130E-07	7.718E+02	7.755E+02	3.700E+00	6.700E-09	3.460E+00	3.053E-01	7.640E-01	1.688E-07	8.770E-08	2.600E-09	
65	11	35	1	0.000E+00	0.000E+00	3.970E-07	4.640E-07	7.658E+02	7.705E+02	4.700E+00	6.700E-09	3.440E+00	3.045E-01	7.630E-01	6.540E-08	5.500E-08	2.600E-09	
66	13	35	1	0.000E+00	0.000E+00	4.340E-07	4.760E-07	7.613E+02	7.668E+02	5.500E+00	6.700E-09	3.424E+00	3.041E-01	7.630E-01	6.890E-08	5.670E-08	2.800E-09	
67	15	35	1	0.000E+00	1.000E-08	4.180E-07	4.620E-07	7.557E+02	7.614E+02	5.700E+00	7.000E-09	3.419E+00	3.036E-01	7.630E-01	6.990E-08	5.550E-08	2.900E-09	
68	17	35	1	0.000E+00	0.000E+00	4.150E-07	8.280E-07	7.478E+02	7.551E+02	7.300E+00	6.900E-09	3.420E+00	3.037E-01	7.630E-01	7.220E-08	9.460E-08	2.800E-09	
69	19	35	1	0.000E+00	0.000E+00	7.320E-07	4.590E-07	7.433E+02	7.522E+02	8.900E+00	6.900E-09	3.423E+00	3.037E-01	7.640E-01	1.137E-07	5.370E-08	2.800E-09	
70	21	35	1	0.000E+00	0.000E+00	3.880E-07	4.570E-07	7.393E+02	7.466E+02	7.300E+00	6.900E-09	3.400E+00	3.037E-01	7.630E-01	6.610E-08	5.530E-08	2.600E-09	
71	23	35	1	0.000E+00	0.000E+00	4.470E-07	4.710E-07	7.355E+02	7.428E+02	7.300E+00	6.800E-09	3.394E+00	3.033E-01	7.630E-01	8.350E-08	5.630E-08	2.600E-09	
72	25	35	1	0.000E+00	2.000E-08	3.940E-07	4.680E-07	7.352E+02	7.421E+02	6.900E+00	7.000E-09	3.393E+00	3.027E-01	7.630E-01	6.680E-08	5.560E-08	2.900E-09	
73	27	35	1	0.000E+00	0.000E+00	4.560E-07	6.390E-07	7.330E+02	7.400E+02	7.000E+00	7.100E-09	3.389E+00	3.030E-01	7.630E-01	8.090E-08	8.260E-08	2.800E-09	
74	29	35	1	0.000E+00	1.000E-08	4.310E-07	4.850E-07	7.310E+02	7.384E+02	7.400E+00	6.900E-09	3.391E+00	3.030E-01	7.630E-01	7.270E-08	6.020E-08	2.800E-09	
75	31	35	1	0.000E+00	0.000E+00	3.870E-07	4.440E-07	7.347E+02	7.423E+02	7.600E+00	6.900E-09	3.380E+00	3.025E-01	7.630E-01	6.620E-08	5.330E-08	3.100E-09	
76	33	35	1	0.000E+00	0.000E+00	4.350E-07	4.910E-07	7.336E+02	7.400E+02	6.400E+00	7.000E-09	3.376E+00	3.027E-01	7.620E-01	7.290E-08	5.700E-08	3.100E-09	
77	35	35	1	0.000E+00	0.000E+00	4.100E-07	4.770E-07	7.358E+02	7.415E+02	5.700E+00	7.200E-09	3.362E+00	3.025E-01	7.620E-01	7.010E-08	5.600E-08	3.200E-09	
78	37	35	1	0.000E+00	0.000E+00	4.210E-07	5.130E-07	7.368E+02	7.415E+02	4.700E+00	7.300E-09	3.350E+00	3.020E-01	7.620E-01	7.260E-08	6.300E-08	4.700E-09	
79	39	35	1	0.000E+00	0.000E+00	4.330E-07	9.090E-07	7.374E+02	7.415E+02	4.100E+00	7.300E-09	3.345E+00	3.020E-01	7.620E-01	7.620E-08	1.311E-07	3.600E-09	
80	41	35	1	0.000E+00	0.000E+00	6.890E-07	5.090E-07	7.388E+02	7.415E+02	2.700E+00	7.400E-09	3.341E+00	3.023E-01	7.630E-01	1.122E-07	6.530E-08	3.100E-09	
81	43	35	1	0.000E+00	0.000E+00	4.450E-07	5.160E-07	7.394E+02	7.411E+02	1.700E+00	7.500E-09	3.319E+00	3.023E-01	7.620E-01	7.540E-08	6.550E-08	3.000E-09	
82	45	35	1	0.000E+00	0.000E+00	5.120E-07	5.620E-07	7.386E+02	7.401E+02	1.500E+00	7.700E-09	3.307E+00	3.014E-01	7.630E-01	9.190E-08	6.900E-08	6.200E-09	
83	47	35	1	0.000E+00	0.000E+00	4.670E-07	7.010E-07	7.378E+02	7.391E+02	1.300E+00	7.700E-09	3.302E+00	2.999E-01	7.620E-01	7.910E-08	1.049E-07	1.150E-08	
84	49	35	1	0.000E+00	0.000E+00	4.540E-07	5.740E-07	7.386E+02	7.402E+02	1.600E+00	7.700E-09	3.292E+00	3.008E-01	7.620E-01	7.700E-08	7.500E-08	1.310E-08	
85	51	35	1	0.000E+00	0.000E+00	5.730E-07	5.450E-07	7.392E+02	7.407E+02	1.500E+00	7.600E-09	3.292E+00	3.019E-01	7.620E-01	1.008E-07	6.420E-08	3.400E-09	
86	53	35	1	0.000E+00	0.000E+00	4.560E-07	6.140E-07	7.389E+02	7.405E+02	1.600E+00	7.500E-09	3.282E+00	3.019E-01	7.620E-01	7.860E-08	6.860E-08	3.100E-09	
87	55	35	1	0.000E+00	0.000E+00	4.770E-07	5.160E-07	7.397E+02	7.413E+02	1.600E+00	7.700E-09	3.283E+00	3.027E-01	7.630E-01	8.680E-08	6.450E-08	8.300E-09	
88	57	35	1	0.000E+00	0.000E+00	4.630E-07	5.910E-07	7.394E+02	7.420E+02	2.600E+00	7.500E-09	3.282E+00	3.018E-01	7.620E-01	7.680E-08	7.070E-08	3.100E-09	
89	59	35	1	0.000E+00	1.000E-08	4.040E-07	8.430E-07	7.383E+02	7.424E+02	4.100E+00	7.400E-09	3.279E+00	3.022E-01	7.620E-01	7.040E-08	1.238E-07	3.200E-09	
90	61	35	1	0.000E+00	0.000E+00	3.960E-07	8.020E-07	7.361E+02	7.418E+02	5.700E+00	7.100E-09	3.275E+00	3.032E-01	7.630E-01	6.890E-08	9.370E-08	3.100E-09	
91	63	35	1	0.000E+00	0.000E+00	4.000E-07	4.540E-07	7.365E+02	7.429E+02	6.400E+00	7.200E-09	3.281E+00	3.027E-01	7.630E-01	6.930E-08	5.470E-08	3.100E-09	
92	65	35	1	0.000E+00	0.000E+00	4.370E-07	4.730E-07	7.368E+02	7.431E+02	6.300E+00	7.100E-09	3.267E+00	3.029E-01	7.630E-01	7.230E-08	5.600E-08	3.000E-09	
93	67	35	1	0.000E+00	0.000E+00	3.770E-07	4.880E-07	7.368E+02	7.433E+02	6.500E+00	7.100E-09	3.263E+00	3.028E-01	7.630E-01	6.850E-08	5.860E-08	3.000E-09	
94	69	35	1	0.000E+00	0.000E+00	4.010E-07	5.650E-07	7.390E+02	7.455E+02	6.500E+00	7.100E-09	3.259E+00	3.026E-01	7.620E-01	6.890E-08	9.010E-08	3.000E-09	
95	71	35	1	0.000E+00	0.000E+00	4.110E-07	5.610E-07	7.406E+02	7.469E+02	6.300E+00	7.100E-09	3.250E+00	3.022E-01	7.620E-01	7.080E-08	6.850E-08	3.000E-09	
96	73	35	1	0.000E+00	0.000E+00	5.080E-07	4.650E-07	7.433E+02	7.494E+02	6.100E+00	7.100E-09	3.255E+00	3.025E-01	7.620E-01	8.080E-08	5.680E-08	2.900E-09	
97	75	35	1	0.000E+00	0.000E+00	3.870E-07	4.690E-07	7.493E+02	7.539E+02	4.600E+00	7.000E-09	3.258E+00	3.023E-01	7.630E-01	6.730E-08	5.510E-08	2.900E-09	
98	77	35	1	0.000E+00	0.000E+00	4.330E-07	4.690E-07	7.517E+02	7.563E+02	4.600E+00	7.000E-09	3.254E+00	3.020E-01	7.620E-01	7.090E-08	5.510E-08	2.800E-09	
99	79	35	1	0.000E+00	0.000E+00	4.690E-07	9.700E-07	7.576E+02	7.609E+02	3.300E+00	7.000E-09	3.250E+00	3.021E-01	7.620E-01	8.630E-08	1.263E-07	2.800E-09	
100	81	35	1	0.000E+00	0.000E+00	3.980E-07	4.580E-07	7.616E+02	7.646E+02	3.000E+00	6.800E-09	3.250E+00	3.025E-01	7.620E-01	6.830E-08	5.400E-08	2.800E-09	
101	83	35	1	0.000E+00	0.000E+00	4.440E-07	6.780E-07	7.662E+02	7.685E+02	2.300E+00	6.900E-09	3.258E+00	3.025E-01	7.620E-01	8.040E-08	9.200E-08	2.700E-09	
102	85	35	1	0.000E+00	0.000E+00	4.540E-07	4.630E-07	7.704E+02	7.722E+02	1.800E+00	6.700E-09	3.279E+00	3.033E-01	7.630E-01	7.480E-08	5.590E-08	2.700E-09	
103	87	35	1	0.000E+00	0.000E+00	3.860E-07	4.550E-07	7.695E+02	7.727E+02	3.200E+00	6.700E-09	3.307E+00	3.050E-01	7.630E-01	6.570E-08	5.430E-08	2.700E-09	
104	89	35	1	0.000E+00	0.000E+00	3.890E-07	4.560E-07	7.576E+02	7.615E+02	3.900E+00	6.600E-09	3.347E+00	3.060E-01	7.640E-01	6.670E-08	5.350E-08	2.600E-09	
105	91	35	1	0.000E+00	0.000E+00	4.010E-07	4.890E-07	7.497E+02	7.523E+02	2.600E+00	6.700E-09	3.394E+00	2.965E-01	7.670E-01	6.920E-08	5.630E-08	2.800E-09	
106	47	37	1	0.000E+00	1.000E-08	4.350E-07	5.240E-07	7.396E+02	7.413E+02	1.700E+00	7.700E-09	3.289E+00	3.009E-01	7.620E-01	7.540E-08	6.590E-08	5.000E-09	
107	47	39	1	0.000E+00	0.000E+00	4.580E-07	1.037E-06	7.416E+02	7.433E+02	1.700E+00	7.600E-09	3.283E+00	3.019E-01	7.620E-01	8.120E-08	1.372E-07	4.800E-09	
108	5	41	1	0.000E+00	0.000E+00	4.550E-07	5.350E-07	7.515E+02	7.559E+02	4.400E+00	6.600E-09	3.535E+00	3.028E-01	7.660E-01	7.280E-08	7.180E-08	2.700E-09	
109	11	41	1	0.000E+00	0.000E+00	3.920E-07	7.520E-07	7.752E+02	7.772E+02	2.000E+00	6.700E-09	3.445E+00	3.031E-01	7.640E-01	6.640E-08	1.093E-07	2.700E-09	
110	17	41	1	0.000E+00	0.000E+00	4.140E-07	4.860E-07	7.566E+02	7.613E+02	4.700E+00	6.800E-09	3.427E+00	3.023E-01	7.640E-01	6.760E-08	5.770E-08	3.000E-09	
111	23	41	1	0.000E+00	0.000E+00	4.060E-07	4.770E-07	7.443E+02	7.505E+02	6.200E+00	7.000E-09	3.403E+00	3.015E-01	7.630E-01	6.930E-08	5.670E-08	2.800E-09	
112	29	41	1	0.000E+00	0.000E+00	3.910E-07	7.560E-07	7.397E+02	7.452E+02	5.500E+00	6.900E-09	3.386E+00	3.007E-01	7.630E-01	6.840E-08	1.079E-07	2.800E-09	
113	35	41	1	0.000E+00	0.000E+00	4.250E-07	4.600E-07	7.394E+02	7.442E+02	4.800E+00	7.100E-09	3.366E+00	3.010E-01	7.630E-01	7.300E-08	5.520E-08	3.100E-09	
114	41	41	1	0.000E+00	0.000E+00	4.430E-07	5.720E-07	7.432E+02	7.455E+02	2.300E+00	7.300E-09	3.340E+00	3.002E-01	7.630E-01	7.470E-08	8.360E-08	3.300E-09	
115	47	41	1	0.000E+00	0.000E+00	4.490E-07	5.250E-07	7.424E+02	7.443E+02	1.900E+00	7.400E-09	3.312E+00	3.008E-01	7.630E-01	7.740E-08	6.510E-08	3.000E-09	
116	53	41	1	0.000E+00	0.000E+00	4.400E-07	5.130E-07	7.438E+02	7.456E+02	1.800E+00	7.400E-09	3.289E+00	3.008E-01	7.630E-01	7.760E-08	6.460E-08	3.100E-09	
117	59	41	1	0.000E+00	0.000E+00	4.110E-07	4.950E-07	7.427E+02	7.469E+02	4.200E+00	7.200E-09	3.281E+00	3.010E-01	7.630E-01	7.180E-08	6.080E-08	3.100E-09	
118	65	41	1	0.000E+00	0.000E+00	5.900E-07	4.900E-07	7.424E+02	7.477E+02	5.300E+00	7.100E-09	3.263E+00	3.016E-01	7.630E-01	1.139E-07	5.990E-08	3.000E-09	
119	71	41	1	0.000E+00	0.000E+00	3.930E-07	4.830E-07	7.456E+02	7.509E+02	5.300E+00	7.100E-09	3.248E+00	3.008E-01	7.630E-01	6.750E-08	5.890E-08	3.000E-09	
120	77	41	1	0.000E+00	0.000E+00	7.650E-07	5.230E-07	7.583E+02	7.608E+02	2.500E+00	6.900E-09	3.259E+00	2.995E-01	7.630E-01	1.206E-07	6.100E-08	3.000E-09	
121	83	41	1	0.000E+00	0.000E+00	4.080E-07	5.240E-07	7.693E+02	7.707E+02	1.400E+00	7.000E-09	3.272E+00	3.003E-01	7.640E-01	6.970E-08	6.060E-08	2.800E-09	
122	89	41	1	0.000E+00	0.000E+00	4.550E-07	4.700E-07	7.592E+02	7.624E+02	3.200E+00	6.600E-09	3.381E+00	3.016E-01	7.650E-01	7.250E-08	5.590E-08	2.800E-09	
123	47	43	1	0.000E+00	0.000E+00	4.650E-07	5.000E-07	7.415E+02	7.457E+02	4.200E+00	7.300E-09	3.300E+00	3.013E-01	7.620E-01	7.560E-08	6.120E-08	2.900E-09	
124	47	45	1	0.000E+00	0.000E+00	4.310E-07	5.950E-07	7.430E+02	7.482E+02	5.200E+00	7.100E-09	3.301E+00	3.012E-01	7.630E-01	7.230E-08	6.570E-08	3.000E-09	
